REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
ABRUZZO,AQUILA,ACCIANO,1922,1922,100.0,0,0,Invariato,2026-03,1922,1922,2026-08-03,066001,A018,c_a018
ABRUZZO,AQUILA,AIELLI,1309,1307,99.85,0,2,Aggiunti civici,2026-08,1307,1307,2026-08-03,066002,A100,c_a100
ABRUZZO,AQUILA,ALFEDENA,1841,1841,100.0,0,0,Invariato,2026-03,1841,1841,2026-08-03,066003,A187,c_a187
ABRUZZO,AQUILA,ANVERSA DEGLI ABRUZZI,1302,0,0.0,0,0,Invariato,2026-03,0,1302,2026-08-03,066004,A318,c_a318
ABRUZZO,AQUILA,ATELETA,997,997,100.0,0,-138,In calo,2026-08,997,1135,2026-08-03,066005,A481,c_a481
ABRUZZO,AQUILA,AVEZZANO,20674,20674,100.0,0,-162,In calo,2026-08,20674,20836,2026-08-03,066006,A515,c_a515
ABRUZZO,AQUILA,BALSORANO,1333,1333,100.0,0,0,Invariato,2026-03,1333,1333,2026-08-03,066007,A603,c_a603
ABRUZZO,AQUILA,BARETE,1203,2,0.17,0,0,Invariato,2026-03,2,1203,2026-08-03,066008,A656,c_a656
ABRUZZO,AQUILA,BARISCIANO,2656,2656,100.0,0,0,Invariato,2026-03,2656,2656,2026-08-03,066009,A667,c_a667
ABRUZZO,AQUILA,BARREA,1223,121,9.89,6,3,Aggiunti civici e coordinate,2026-08,115,1220,2026-08-03,066010,A678,c_a678
ABRUZZO,AQUILA,BISEGNA,870,395,45.4,0,0,Invariato,2026-03,395,870,2026-08-03,066011,A884,c_a884
ABRUZZO,AQUILA,BUGNARA,3314,3314,100.0,0,0,Invariato,2026-03,3314,3314,2026-08-03,066012,B256,c_b256
ABRUZZO,AQUILA,CAGNANO AMITERNO,1342,1,0.07,0,0,Invariato,2026-03,1,1342,2026-08-03,066013,B358,c_b358
ABRUZZO,AQUILA,CALASCIO,731,731,100.0,731,0,Aggiunte coordinate,2026-08,0,731,2026-08-03,066014,B382,c_b382
ABRUZZO,AQUILA,CAMPO DI GIOVE,1432,1432,100.0,5,5,Aggiunti civici e coordinate,2026-08,1427,1427,2026-08-03,066015,B526,c_b526
ABRUZZO,AQUILA,CAMPOTOSTO,413,413,100.0,0,0,Invariato,2026-03,413,413,2026-08-03,066016,B569,c_b569
ABRUZZO,AQUILA,CANISTRO,546,3,0.55,0,0,Invariato,2026-03,3,546,2026-08-03,066017,B606,c_b606
ABRUZZO,AQUILA,CANSANO,1023,3,0.29,0,0,Invariato,2026-03,3,1023,2026-08-03,066018,B624,c_b624
ABRUZZO,AQUILA,CAPESTRANO,1039,0,0.0,0,0,Invariato,2026-03,0,1039,2026-08-03,066019,B651,c_b651
