REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
BASILICATA,MATERA,ACCETTURA,3175,3175,100.0,0,0,Invariato,2026-03,3175,3175,2026-08-03,077001,A017,c_a017
BASILICATA,MATERA,ALIANO,1851,1851,100.0,0,0,Invariato,2026-03,1851,1851,2026-08-03,077002,A196,c_a196
BASILICATA,MATERA,BERNALDA,7476,7476,100.0,0,0,Invariato,2026-03,7476,7476,2026-08-03,077003,A801,c_a801
BASILICATA,MATERA,CALCIANO,974,974,100.0,0,0,Invariato,2026-03,974,974,2026-08-03,077004,B391,c_b391
BASILICATA,MATERA,CIRIGLIANO,1172,1172,100.0,0,0,Invariato,2026-03,1172,1172,2026-08-03,077005,C723,c_c723
BASILICATA,MATERA,COLOBRARO,2173,0,0.0,0,0,Invariato,2026-03,0,2173,2026-08-03,077006,C888,c_c888
BASILICATA,MATERA,CRACO,217,217,100.0,0,0,Invariato,2026-03,217,217,2026-08-03,077007,D128,c_d128
BASILICATA,MATERA,FERRANDINA,4749,0,0.0,0,-86,In calo,2026-08,0,4835,2026-08-03,077008,D547,c_d547
BASILICATA,MATERA,GARAGUSO,1356,1356,100.0,0,0,Invariato,2026-03,1356,1356,2026-08-03,077009,D909,c_d909
BASILICATA,MATERA,GORGOGLIONE,1705,1705,100.0,0,0,Invariato,2026-03,1705,1705,2026-08-03,077010,E093,c_e093
BASILICATA,MATERA,GRASSANO,4893,4893,100.0,0,0,Invariato,2026-03,4893,4893,2026-08-03,077011,E147,c_e147
BASILICATA,MATERA,GROTTOLE,1350,0,0.0,0,0,Invariato,2026-03,0,1350,2026-08-03,077012,E213,c_e213
BASILICATA,MATERA,IRSINA,5323,0,0.0,-3125,0,In calo,2026-08,3125,5323,2026-08-03,077013,E326,c_e326
BASILICATA,MATERA,MATERA,17720,17720,100.0,11,11,Aggiunti civici e coordinate,2026-08,17709,17709,2026-08-03,077014,F052,c_f052
BASILICATA,MATERA,MIGLIONICO,2590,2590,100.0,0,0,Invariato,2026-03,2590,2590,2026-08-03,077015,F201,c_f201
BASILICATA,MATERA,MONTALBANO JONICO,4836,0,0.0,0,0,Invariato,2026-03,0,4836,2026-08-03,077016,F399,c_f399
BASILICATA,MATERA,MONTESCAGLIOSO,4891,4891,100.0,0,0,Invariato,2026-03,4891,4891,2026-08-03,077017,F637,c_f637
BASILICATA,MATERA,NOVA SIRI,3621,3621,100.0,0,0,Invariato,2026-03,3621,3621,2026-08-03,077018,A942,c_a942
BASILICATA,MATERA,OLIVETO LUCANO,1157,1157,100.0,0,0,Invariato,2026-03,1157,1157,2026-08-03,077019,G037,c_g037
BASILICATA,MATERA,PISTICCI,6655,0,0.0,0,0,Invariato,2026-03,0,6655,2026-08-03,077020,G712,c_g712
BASILICATA,MATERA,POLICORO,6434,0,0.0,-719,0,In calo,2026-08,719,6434,2026-08-03,077021,G786,c_g786
BASILICATA,MATERA,POMARICO,3393,3393,100.0,3393,0,Aggiunte coordinate,2026-08,0,3393,2026-08-03,077022,G806,c_g806
BASILICATA,MATERA,ROTONDELLA,2579,2579,100.0,0,0,Invariato,2026-03,2579,2579,2026-08-03,077023,H591,c_h591
BASILICATA,MATERA,SALANDRA,2425,2425,100.0,0,0,Invariato,2026-03,2425,2425,2026-08-03,077024,H687,c_h687
BASILICATA,MATERA,SAN GIORGIO LUCANO,2070,0,0.0,0,0,Invariato,2026-03,0,2070,2026-08-03,077025,H888,c_h888
BASILICATA,MATERA,SAN MAURO FORTE,2961,2961,100.0,0,0,Invariato,2026-03,2961,2961,2026-08-03,077026,I029,c_i029
BASILICATA,MATERA,SCANZANO JONICO,2588,0,0.0,0,-39,In calo,2026-08,0,2627,2026-08-03,077031,M256,c_m256
BASILICATA,MATERA,STIGLIANO,5231,5231,100.0,0,0,Invariato,2026-03,5231,5231,2026-08-03,077027,I954,c_i954
BASILICATA,MATERA,TRICARICO,3034,3034,100.0,0,0,Invariato,2026-03,3034,3034,2026-08-03,077028,L418,c_l418
BASILICATA,MATERA,TURSI,3170,3170,100.0,3170,-2294,In calo,2026-08,0,5464,2026-08-03,077029,L477,c_l477
BASILICATA,MATERA,VALSINNI,2296,0,0.0,0,-73,In calo,2026-08,0,2369,2026-08-03,077030,D513,c_d513
BASILICATA,POTENZA,ABRIOLA,2426,2426,100.0,0,-23,In calo,2026-08,2426,2449,2026-08-03,076001,A013,c_a013
BASILICATA,POTENZA,ACERENZA,2751,2751,100.0,0,0,Invariato,2026-03,2751,2751,2026-08-03,076002,A020,c_a020
BASILICATA,POTENZA,ALBANO DI LUCANIA,1098,0,0.0,-768,0,In calo,2026-08,768,1098,2026-08-03,076003,A131,c_a131
