REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
CALABRIA,CATANZARO,ALBI,1738,1738,100.0,0,0,Invariato,2026-03,1738,1738,2026-07-31,079002,A155,c_a155
CALABRIA,CATANZARO,AMARONI,3657,3657,100.0,0,0,Invariato,2026-03,3657,3657,2026-07-31,079003,A255,c_a255
CALABRIA,CATANZARO,AMATO,1288,425,33.0,0,0,Invariato,2026-07,425,1288,2026-07-31,079004,A257,c_a257
CALABRIA,CATANZARO,ANDALI,1368,1368,100.0,0,0,Invariato,2026-03,1368,1368,2026-07-31,079005,A272,c_a272
CALABRIA,CATANZARO,ARGUSTO,770,770,100.0,0,0,Invariato,2026-03,770,770,2026-07-31,079007,A397,c_a397
CALABRIA,CATANZARO,BADOLATO,3356,0,0.0,0,0,Invariato,2026-07,0,3356,2026-07-31,079008,A542,c_a542
CALABRIA,CATANZARO,BELCASTRO,1007,1007,100.0,0,0,Invariato,2026-03,1007,1007,2026-07-31,079009,A736,c_a736
CALABRIA,CATANZARO,BORGIA,6301,6301,100.0,0,0,Invariato,2026-03,6301,6301,2026-07-31,079011,B002,c_b002
CALABRIA,CATANZARO,BOTRICELLO,3957,3957,100.0,0,0,Invariato,2026-03,3957,3957,2026-07-31,079012,B085,c_b085
CALABRIA,CATANZARO,CARAFFA DI CATANZARO,1431,1431,100.0,0,0,Invariato,2026-03,1431,1431,2026-07-31,079017,B717,c_b717
CALABRIA,CATANZARO,CARDINALE,994,0,0.0,0,0,Invariato,2026-03,0,994,2026-07-31,079018,B758,c_b758
CALABRIA,CATANZARO,CARLOPOLI,3145,3145,100.0,0,0,Invariato,2026-03,3145,3145,2026-07-31,079020,B790,c_b790
CALABRIA,CATANZARO,CATANZARO,32480,32480,100.0,0,0,Invariato,2026-03,32480,32480,2026-07-31,079023,C352,c_c352
CALABRIA,CATANZARO,CENADI,1212,0,0.0,0,0,Invariato,2026-03,0,1212,2026-07-31,079024,C453,c_c453
CALABRIA,CATANZARO,CENTRACHE,844,844,100.0,0,0,Invariato,2026-03,844,844,2026-07-31,079025,C472,c_c472
CALABRIA,CATANZARO,CERVA,1396,1396,100.0,0,0,Invariato,2026-03,1396,1396,2026-07-31,079027,C542,c_c542
CALABRIA,CATANZARO,CHIARAVALLE CENTRALE,6674,0,0.0,0,0,Invariato,2026-03,0,6674,2026-07-31,079029,C616,c_c616
CALABRIA,CATANZARO,CICALA,877,877,100.0,0,0,Invariato,2026-03,877,877,2026-07-31,079030,C674,c_c674
CALABRIA,CATANZARO,CONFLENTI,4264,0,0.0,0,0,Invariato,2026-03,0,4264,2026-07-31,079033,C960,c_c960
CALABRIA,CATANZARO,CORTALE,4873,4873,100.0,0,0,Invariato,2026-03,4873,4873,2026-07-31,079034,D049,c_d049
CALABRIA,CATANZARO,CROPANI,6183,6183,100.0,0,0,Invariato,2026-03,6183,6183,2026-07-31,079036,D181,c_d181
CALABRIA,CATANZARO,CURINGA,7304,7304,100.0,0,0,Invariato,2026-03,7304,7304,2026-07-31,079039,D218,c_d218
CALABRIA,CATANZARO,DAVOLI,4795,0,0.0,0,0,Invariato,2026-03,0,4795,2026-07-31,079042,D257,c_d257
CALABRIA,CATANZARO,DECOLLATURA,5737,5737,100.0,0,0,Invariato,2026-03,5737,5737,2026-07-31,079043,D261,c_d261
CALABRIA,CATANZARO,FALERNA,4107,4107,100.0,0,0,Invariato,2026-03,4107,4107,2026-07-31,079047,D476,c_d476
CALABRIA,CATANZARO,FEROLETO ANTICO,4121,4121,100.0,0,0,Invariato,2026-03,4121,4121,2026-07-31,079048,D544,c_d544
CALABRIA,CATANZARO,FOSSATO SERRALTA,1124,1124,100.0,0,0,Invariato,2026-03,1124,1124,2026-07-31,079052,D744,c_nhvz
CALABRIA,CATANZARO,GAGLIATO,1585,1505,94.95,0,80,Aggiunti civici,2026-07,1505,1505,2026-07-31,079055,D852,c_d852
CALABRIA,CATANZARO,GASPERINA,2240,2240,100.0,0,0,Invariato,2026-03,2240,2240,2026-07-31,079056,D932,c_d932
CALABRIA,CATANZARO,GIMIGLIANO,177,177,100.0,0,0,Invariato,2026-03,177,177,2026-07-31,079058,E031,c_e031
CALABRIA,CATANZARO,GIRIFALCO,7798,7798,100.0,0,0,Invariato,2026-03,7798,7798,2026-07-31,079059,E050,c_e050
CALABRIA,CATANZARO,GIZZERIA,1655,1655,100.0,0,0,Invariato,2026-03,1655,1655,2026-07-31,079060,E068,c_e068
CALABRIA,CATANZARO,GUARDAVALLE,6023,0,0.0,0,0,Invariato,2026-03,0,6023,2026-07-31,079061,E239,c_e239
CALABRIA,CATANZARO,ISCA SULLO IONIO,1578,1578,100.0,0,0,Invariato,2026-03,1578,1578,2026-07-31,079063,E328,c_e328
CALABRIA,CATANZARO,JACURSO,1422,0,0.0,0,0,Invariato,2026-03,0,1422,2026-07-31,079065,E274,c_e274
CALABRIA,CATANZARO,LAMEZIA TERME,22757,21010,92.32,0,0,Invariato,2026-07,21010,22757,2026-07-31,079160,M208,c_m208
CALABRIA,CATANZARO,MAGISANO,1837,0,0.0,0,0,Invariato,2026-03,0,1837,2026-07-31,079068,E806,c_m1409
CALABRIA,CATANZARO,MAIDA,5243,5243,100.0,0,0,Invariato,2026-03,5243,5243,2026-07-31,079069,E834,c_e834
CALABRIA,CATANZARO,MARCEDUSA,396,396,100.0,0,0,Invariato,2026-03,396,396,2026-07-31,079071,E923,c_e923
CALABRIA,CATANZARO,MARCELLINARA,1619,1619,100.0,0,0,Invariato,2026-03,1619,1619,2026-07-31,079072,E925,c_e925
CALABRIA,CATANZARO,MARTIRANO,1846,1846,100.0,0,0,Invariato,2026-03,1846,1846,2026-07-31,079073,E990,c_e990
