REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
EMILIA ROMAGNA,BOLOGNA,ALTO RENO TERME,5264,5264,100.0,0,0,Invariato,2026-03,5264,5264,2026-07-31,037062,M369,c_m369
EMILIA ROMAGNA,BOLOGNA,ANZOLA DELL'EMILIA,3056,3056,100.0,0,0,Invariato,2026-03,3056,3056,2026-07-31,037001,A324,c_a324
EMILIA ROMAGNA,BOLOGNA,ARGELATO,3547,3547,100.0,0,0,Invariato,2026-03,3547,3547,2026-07-31,037002,A392,c_a392
EMILIA ROMAGNA,BOLOGNA,BARICELLA,3064,3064,100.0,0,0,Invariato,2026-03,3064,3064,2026-07-31,037003,A665,c_a665
EMILIA ROMAGNA,BOLOGNA,BENTIVOGLIO,2422,2422,100.0,0,0,Invariato,2026-03,2422,2422,2026-07-31,037005,A785,c_a785
EMILIA ROMAGNA,BOLOGNA,BOLOGNA,77633,77633,100.0,0,0,Invariato,2026-03,77633,77633,2026-07-31,037006,A944,c_a944
EMILIA ROMAGNA,BOLOGNA,BORGO TOSSIGNANO,2065,2065,100.0,0,0,Invariato,2026-03,2065,2065,2026-07-31,037007,B044,c_b044
EMILIA ROMAGNA,BOLOGNA,BUDRIO,5973,5973,100.0,0,0,Invariato,2026-03,5973,5973,2026-07-31,037008,B249,c_b249
EMILIA ROMAGNA,BOLOGNA,CALDERARA DI RENO,3682,3682,100.0,0,0,Invariato,2026-03,3682,3682,2026-07-31,037009,B399,c_b399
EMILIA ROMAGNA,BOLOGNA,CAMUGNANO,2673,2673,100.0,0,0,Invariato,2026-03,2673,2673,2026-07-31,037010,B572,c_b572
EMILIA ROMAGNA,BOLOGNA,CASALECCHIO DI RENO,5342,5342,100.0,0,0,Invariato,2026-03,5342,5342,2026-07-31,037011,B880,c_b880
EMILIA ROMAGNA,BOLOGNA,CASALFIUMANESE,1705,1705,100.0,0,0,Invariato,2026-03,1705,1705,2026-07-31,037012,B892,c_b892
EMILIA ROMAGNA,BOLOGNA,CASTEL D'AIANO,2508,2508,100.0,0,0,Invariato,2026-03,2508,2508,2026-07-31,037013,C075,c_c075
EMILIA ROMAGNA,BOLOGNA,CASTEL DEL RIO,1154,1154,100.0,0,0,Invariato,2026-03,1154,1154,2026-07-31,037014,C086,c_c086
EMILIA ROMAGNA,BOLOGNA,CASTEL DI CASIO,2667,2667,100.0,0,0,Invariato,2026-03,2667,2667,2026-07-31,037015,B969,c_b969
EMILIA ROMAGNA,BOLOGNA,CASTEL GUELFO DI BOLOGNA,2318,2318,100.0,0,0,Invariato,2026-03,2318,2318,2026-07-31,037016,C121,c_c121
EMILIA ROMAGNA,BOLOGNA,CASTEL MAGGIORE,4294,4294,100.0,0,0,Invariato,2026-03,4294,4294,2026-07-31,037019,C204,c_c204
EMILIA ROMAGNA,BOLOGNA,CASTEL SAN PIETRO TERME,8372,8370,99.98,0,0,Invariato,2026-03,8370,8372,2026-07-31,037020,C265,c_c265
EMILIA ROMAGNA,BOLOGNA,CASTELLO D'ARGILE,2418,2418,100.0,0,0,Invariato,2026-03,2418,2418,2026-07-31,037017,C185,c_c185
EMILIA ROMAGNA,BOLOGNA,CASTENASO,4026,4026,100.0,0,0,Invariato,2026-03,4026,4026,2026-07-31,037021,C292,c_c292
EMILIA ROMAGNA,BOLOGNA,CASTIGLIONE DEI PEPOLI,4198,4184,99.67,0,0,Invariato,2026-07,4184,4198,2026-07-31,037022,C296,c_c296
EMILIA ROMAGNA,BOLOGNA,CREVALCORE,5413,5413,100.0,0,0,Invariato,2026-03,5413,5413,2026-07-31,037024,D166,c_d166
EMILIA ROMAGNA,BOLOGNA,DOZZA,2752,2752,100.0,0,0,Invariato,2026-03,2752,2752,2026-07-31,037025,D360,c_d360
EMILIA ROMAGNA,BOLOGNA,FONTANELICE,1189,1145,96.3,0,0,Invariato,2026-07,1145,1189,2026-07-31,037026,D668,c_d668
EMILIA ROMAGNA,BOLOGNA,GAGGIO MONTANO,4006,4006,100.0,0,0,Invariato,2026-03,4006,4006,2026-07-31,037027,D847,c_d847
EMILIA ROMAGNA,BOLOGNA,GALLIERA,2024,1985,98.07,0,0,Invariato,2026-07,1985,2024,2026-07-31,037028,D878,c_d878
EMILIA ROMAGNA,BOLOGNA,GRANAROLO DELL'EMILIA,3846,3846,100.0,0,0,Invariato,2026-03,3846,3846,2026-07-31,037030,E136,c_e136
EMILIA ROMAGNA,BOLOGNA,GRIZZANA MORANDI,2794,2794,100.0,0,0,Invariato,2026-03,2794,2794,2026-07-31,037031,E187,c_e187
EMILIA ROMAGNA,BOLOGNA,IMOLA,22127,22127,100.0,0,0,Invariato,2026-03,22127,22127,2026-07-31,037032,E289,c_e289
EMILIA ROMAGNA,BOLOGNA,LIZZANO IN BELVEDERE,4579,4579,100.0,0,0,Invariato,2026-03,4579,4579,2026-07-31,037033,A771,c_a771
EMILIA ROMAGNA,BOLOGNA,LOIANO,2358,2358,100.0,0,0,Invariato,2026-03,2358,2358,2026-07-31,037034,E655,c_e655
EMILIA ROMAGNA,BOLOGNA,MALALBERGO,3551,3551,100.0,0,0,Invariato,2026-03,3551,3551,2026-07-31,037035,E844,c_e844
EMILIA ROMAGNA,BOLOGNA,MARZABOTTO,2355,2340,99.36,0,0,Invariato,2026-07,2340,2355,2026-07-31,037036,B689,c_b689
EMILIA ROMAGNA,BOLOGNA,MEDICINA,6385,6384,99.98,0,0,Invariato,2026-03,6384,6385,2026-07-31,037037,F083,c_f083
EMILIA ROMAGNA,BOLOGNA,MINERBIO,3131,3131,100.0,0,0,Invariato,2026-03,3131,3131,2026-07-31,037038,F219,c_f219
EMILIA ROMAGNA,BOLOGNA,MOLINELLA,7423,7423,100.0,0,0,Invariato,2026-03,7423,7423,2026-07-31,037039,F288,c_f288
EMILIA ROMAGNA,BOLOGNA,MONGHIDORO,4230,4230,100.0,0,0,Invariato,2026-03,4230,4230,2026-07-31,037040,F363,c_f363
EMILIA ROMAGNA,BOLOGNA,MONTE SAN PIETRO,3925,3925,100.0,0,0,Invariato,2026-03,3925,3925,2026-07-31,037042,F627,c_f627
EMILIA ROMAGNA,BOLOGNA,MONTERENZIO,2502,2502,100.0,0,0,Invariato,2026-03,2502,2502,2026-07-31,037041,F597,c_f597
EMILIA ROMAGNA,BOLOGNA,MONZUNO,3190,3190,100.0,0,0,Invariato,2026-03,3190,3190,2026-07-31,037044,F706,c_f706
EMILIA ROMAGNA,BOLOGNA,MORDANO,2320,2320,100.0,0,0,Invariato,2026-03,2320,2320,2026-07-31,037045,F718,c_f718
EMILIA ROMAGNA,BOLOGNA,OZZANO DELL'EMILIA,4140,4140,100.0,0,0,Invariato,2026-03,4140,4140,2026-07-31,037046,G205,c_g205
EMILIA ROMAGNA,BOLOGNA,PIANORO,4397,4395,99.95,0,0,Invariato,2026-03,4395,4397,2026-07-31,037047,G570,c_g570
EMILIA ROMAGNA,BOLOGNA,PIEVE DI CENTO,3333,3333,100.0,0,0,Invariato,2026-03,3333,3333,2026-07-31,037048,G643,c_g643
EMILIA ROMAGNA,BOLOGNA,SALA BOLOGNESE,2616,2616,100.0,0,0,Invariato,2026-03,2616,2616,2026-07-31,037050,H678,c_h678
EMILIA ROMAGNA,BOLOGNA,SAN BENEDETTO VAL DI SAMBRO,4819,4819,100.0,0,0,Invariato,2026-03,4819,4819,2026-07-31,037051,G566,c_g566
EMILIA ROMAGNA,BOLOGNA,SAN GIORGIO DI PIANO,2683,2683,100.0,0,0,Invariato,2026-03,2683,2683,2026-07-31,037052,H896,c_h896
EMILIA ROMAGNA,BOLOGNA,SAN GIOVANNI IN PERSICETO,12326,12326,100.0,0,0,Invariato,2026-03,12326,12326,2026-07-31,037053,G467,c_g467
EMILIA ROMAGNA,BOLOGNA,SAN LAZZARO DI SAVENA,5558,5558,100.0,0,0,Invariato,2026-03,5558,5558,2026-07-31,037054,H945,c_h945
EMILIA ROMAGNA,BOLOGNA,SAN PIETRO IN CASALE,6646,6640,99.91,0,0,Invariato,2026-03,6640,6646,2026-07-31,037055,I110,c_i110
EMILIA ROMAGNA,BOLOGNA,SANT'AGATA BOLOGNESE,2409,2409,100.0,0,0,Invariato,2026-03,2409,2409,2026-07-31,037056,I191,c_i191
EMILIA ROMAGNA,BOLOGNA,SASSO MARCONI,4811,4811,100.0,0,0,Invariato,2026-03,4811,4811,2026-07-31,037057,G972,c_g972
EMILIA ROMAGNA,BOLOGNA,VALSAMOGGIA,13560,13560,100.0,0,0,Invariato,2026-03,13560,13560,2026-07-31,037061,M320,c_a726n
EMILIA ROMAGNA,BOLOGNA,VERGATO,4702,4665,99.21,0,0,Invariato,2026-07,4665,4702,2026-07-31,037059,L762,c_l762
EMILIA ROMAGNA,BOLOGNA,ZOLA PREDOSA,5136,5130,99.88,0,6,Aggiunti civici,2026-08,5130,5130,2026-07-31,037060,M185,c_m185
EMILIA ROMAGNA,FERRARA,ARGENTA,9434,9434,100.0,0,0,Invariato,2026-03,9434,9434,2026-07-31,038001,A393,c_a393
EMILIA ROMAGNA,FERRARA,BONDENO,7853,7853,100.0,0,0,Invariato,2026-03,7853,7853,2026-07-31,038003,A965,c_a965
EMILIA ROMAGNA,FERRARA,CENTO,12483,12483,100.0,0,0,Invariato,2026-03,12483,12483,2026-07-31,038004,C469,c_c469
EMILIA ROMAGNA,FERRARA,CODIGORO,8932,8932,100.0,0,0,Invariato,2026-03,8932,8932,2026-07-31,038005,C814,c_c814
EMILIA ROMAGNA,FERRARA,COMACCHIO,37895,37895,100.0,0,0,Invariato,2026-03,37895,37895,2026-07-31,038006,C912,c_c912
EMILIA ROMAGNA,FERRARA,COPPARO,10833,10833,100.0,0,0,Invariato,2026-03,10833,10833,2026-07-31,038007,C980,c_c980
EMILIA ROMAGNA,FERRARA,FERRARA,57161,57161,100.0,0,0,Invariato,2026-03,57161,57161,2026-07-31,038008,D548,c_d548
EMILIA ROMAGNA,FERRARA,FISCAGLIA,7188,7188,100.0,0,0,Invariato,2026-03,7188,7188,2026-07-31,038027,M323,c_m323
EMILIA ROMAGNA,FERRARA,GORO,2623,2623,100.0,0,0,Invariato,2026-03,2623,2623,2026-07-31,038025,E107,c_e107
EMILIA ROMAGNA,FERRARA,JOLANDA DI SAVOIA,1897,1897,100.0,0,0,Invariato,2026-03,1897,1897,2026-07-31,038010,E320,c_e320
EMILIA ROMAGNA,FERRARA,LAGOSANTO,2796,2796,100.0,0,0,Invariato,2026-03,2796,2796,2026-07-31,038011,E410,c_e410
EMILIA ROMAGNA,FERRARA,MASI TORELLO,2436,19,0.78,0,0,Invariato,2026-03,19,2436,2026-07-31,038012,F016,c_f016
EMILIA ROMAGNA,FERRARA,MESOLA,4679,4679,100.0,0,0,Invariato,2026-03,4679,4679,2026-07-31,038014,F156,c_f156
EMILIA ROMAGNA,FERRARA,OSTELLATO,3442,3442,100.0,24,0,Aggiunte coordinate,2026-08,3418,3442,2026-07-31,038017,G184,c_g184
EMILIA ROMAGNA,FERRARA,POGGIO RENATICO,4186,4186,100.0,0,0,Invariato,2026-03,4186,4186,2026-07-31,038018,G768,c_g768
EMILIA ROMAGNA,FERRARA,PORTOMAGGIORE,5530,5530,100.0,0,0,Invariato,2026-03,5530,5530,2026-07-31,038019,G916,c_g916
EMILIA ROMAGNA,FERRARA,RIVA DEL PO,5893,5893,100.0,0,0,Invariato,2026-03,5893,5893,2026-07-31,038029,M410,c_m410
EMILIA ROMAGNA,FERRARA,TERRE DEL RENO,5253,4617,87.89,0,0,Invariato,2026-07,4617,5253,2026-07-31,038028,M381,cdtdr
EMILIA ROMAGNA,FERRARA,TRESIGNANA,4741,4741,100.0,0,0,Invariato,2026-03,4741,4741,2026-07-31,038030,M409,c_m409
EMILIA ROMAGNA,FERRARA,VIGARANO MAINARDA,4282,4282,100.0,0,0,Invariato,2026-03,4282,4282,2026-07-31,038022,L868,c_l868
EMILIA ROMAGNA,FERRARA,VOGHIERA,2101,0,0.0,0,0,Invariato,2026-03,0,2101,2026-07-31,038023,M110,c_m110
EMILIA ROMAGNA,FORLI,BAGNO DI ROMAGNA,3534,3534,100.0,0,0,Invariato,2026-03,3534,3534,2026-07-31,040001,A565,c_a565
EMILIA ROMAGNA,FORLI,BERTINORO,5104,5104,100.0,0,0,Invariato,2026-03,5104,5104,2026-07-31,040003,A809,c_a809
EMILIA ROMAGNA,FORLI,BORGHI,1670,1670,100.0,0,0,Invariato,2026-03,1670,1670,2026-07-31,040004,B001,c_b001
EMILIA ROMAGNA,FORLI,CASTROCARO TERME E TERRA DEL SOLE,3768,1675,44.45,0,0,Invariato,2026-07,1675,3768,2026-07-31,040005,C339,c_c339
EMILIA ROMAGNA,FORLI,CESENA,37649,37649,100.0,0,0,Invariato,2026-03,37649,37649,2026-07-31,040007,C573,c_c573
EMILIA ROMAGNA,FORLI,CESENATICO,13384,13384,100.0,0,0,Invariato,2026-03,13384,13384,2026-07-31,040008,C574,c_c574
EMILIA ROMAGNA,FORLI,CIVITELLA DI ROMAGNA,2463,965,39.18,0,0,Invariato,2026-07,965,2463,2026-07-31,040009,C777,c_c777
EMILIA ROMAGNA,FORLI,DOVADOLA,1075,1075,100.0,0,0,Invariato,2026-07,1075,1075,2026-07-31,040011,D357,c_d357
EMILIA ROMAGNA,FORLI,FORLI',51280,51280,100.0,0,0,Invariato,2026-03,51280,51280,2026-07-31,040012,D704,c_d704
EMILIA ROMAGNA,FORLI,FORLIMPOPOLI,5871,5871,100.0,0,0,Invariato,2026-03,5871,5871,2026-07-31,040013,D705,c_d705
EMILIA ROMAGNA,FORLI,GALEATA,1250,0,0.0,0,0,Invariato,2026-03,0,1250,2026-07-31,040014,D867,c_d867
EMILIA ROMAGNA,FORLI,GAMBETTOLA,6442,6442,100.0,0,0,Invariato,2026-03,6442,6442,2026-07-31,040015,D899,c_0899
EMILIA ROMAGNA,FORLI,GATTEO,7916,7916,100.0,0,0,Invariato,2026-03,7916,7916,2026-07-31,040016,D935,c_d935
EMILIA ROMAGNA,FORLI,LONGIANO,3148,3148,100.0,0,0,Invariato,2026-03,3148,3148,2026-07-31,040018,E675,C_E675
EMILIA ROMAGNA,FORLI,MELDOLA,5795,0,0.0,0,0,Invariato,2026-03,0,5795,2026-07-31,040019,F097,c_f097
EMILIA ROMAGNA,FORLI,MERCATO SARACENO,3939,3939,100.0,0,0,Invariato,2026-03,3939,3939,2026-07-31,040020,F139,c_f139
EMILIA ROMAGNA,FORLI,MODIGLIANA,3177,3177,100.0,0,0,Invariato,2026-03,3177,3177,2026-07-31,040022,F259,c_f259
EMILIA ROMAGNA,FORLI,MONTIANO,779,779,100.0,0,0,Invariato,2026-03,779,779,2026-07-31,040028,F668,c_f668
EMILIA ROMAGNA,FORLI,PORTICO E SAN BENEDETTO,1028,1028,100.0,0,0,Invariato,2026-03,1028,1028,2026-07-31,040031,G904,c_g904
EMILIA ROMAGNA,FORLI,PREDAPPIO,4085,30,0.73,0,23,Aggiunti civici,2026-08,30,4062,2026-07-31,040032,H017,c_h017
EMILIA ROMAGNA,FORLI,PREMILCUORE,627,627,100.0,0,0,Invariato,2026-03,627,627,2026-07-31,040033,H034,c_h034
EMILIA ROMAGNA,FORLI,ROCCA SAN CASCIANO,1494,1432,95.85,0,0,Invariato,2026-07,1432,1494,2026-07-31,040036,H437,c_h437
EMILIA ROMAGNA,FORLI,RONCOFREDDO,1886,1886,100.0,0,0,Invariato,2026-03,1886,1886,2026-07-31,040037,H542,c_h542
EMILIA ROMAGNA,FORLI,SAN MAURO PASCOLI,6968,6968,100.0,0,0,Invariato,2026-03,6968,6968,2026-07-31,040041,I027,c_i027
EMILIA ROMAGNA,FORLI,SANTA SOFIA,2929,2929,100.0,0,0,Invariato,2026-03,2929,2929,2026-07-31,040043,I310,c_i310
