REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
FRIULI VENEZIA GIULIA,GORIZIA,CAPRIVA DEL FRIULI,956,956,100.0,0,0,Invariato,2026-08,956,956,2026-09-15,031001,B712,c_b712
FRIULI VENEZIA GIULIA,GORIZIA,CORMONS,3335,0,0.0,0,0,Invariato,2026-08,0,3335,2026-09-15,031002,D014,C_d014
FRIULI VENEZIA GIULIA,GORIZIA,DOBERDÒ DEL LAGO,665,665,100.0,0,0,Invariato,2026-03,665,665,2026-09-15,031003,D312,c_d312
FRIULI VENEZIA GIULIA,GORIZIA,DOLEGNA DEL COLLIO,295,295,100.0,0,0,Invariato,2026-03,295,295,2026-09-15,031004,D321,c_d321
FRIULI VENEZIA GIULIA,GORIZIA,FARRA D'ISONZO,865,0,0.0,0,0,Invariato,2026-03,0,865,2026-09-15,031005,D504,c_d504
FRIULI VENEZIA GIULIA,GORIZIA,FOGLIANO REDIPUGLIA,2442,0,0.0,0,0,Invariato,2026-08,0,2442,2026-09-15,031006,D645,c_d645
FRIULI VENEZIA GIULIA,GORIZIA,GORIZIA,12555,4860,38.71,0,0,Invariato,2026-08,4860,12555,2026-09-15,031007,E098,c_e098
FRIULI VENEZIA GIULIA,GORIZIA,GRADISCA D'ISONZO,3492,0,0.0,0,0,Invariato,2026-08,0,3492,2026-09-15,031008,E124,c_e124
FRIULI VENEZIA GIULIA,GORIZIA,GRADO,6231,6231,100.0,0,0,Invariato,2026-03,6231,6231,2026-09-15,031009,E125,c_e125
FRIULI VENEZIA GIULIA,GORIZIA,MARIANO DEL FRIULI,796,0,0.0,0,0,Invariato,2026-08,0,796,2026-09-15,031010,E952,c_e952
FRIULI VENEZIA GIULIA,GORIZIA,MEDEA,470,12,2.55,0,0,Invariato,2026-08,12,470,2026-09-15,031011,F081,c_f081
FRIULI VENEZIA GIULIA,GORIZIA,MONFALCONE,7174,7173,99.99,0,0,Invariato,2026-08,7173,7174,2026-09-15,031012,F356,c_f356
FRIULI VENEZIA GIULIA,GORIZIA,MORARO,426,0,0.0,0,0,Invariato,2026-03,0,426,2026-09-15,031013,F710,c_f710
FRIULI VENEZIA GIULIA,GORIZIA,MOSSA,740,0,0.0,0,0,Invariato,2026-03,0,740,2026-09-15,031014,F767,c_f767
FRIULI VENEZIA GIULIA,GORIZIA,ROMANS D'ISONZO,1923,0,0.0,0,0,Invariato,2026-08,0,1923,2026-09-15,031015,H514,c_h514
FRIULI VENEZIA GIULIA,GORIZIA,RONCHI DEI LEGIONARI,4651,4650,99.98,1,1,Aggiunti civici e coordinate,2026-09,4649,4650,2026-09-15,031016,H531,c_h531
FRIULI VENEZIA GIULIA,GORIZIA,SAGRADO,1058,1058,100.0,0,0,Invariato,2026-03,1058,1058,2026-09-15,031017,H665,c_h665
FRIULI VENEZIA GIULIA,GORIZIA,SAN CANZIAN D'ISONZO,2720,2720,100.0,0,0,Invariato,2026-03,2720,2720,2026-09-15,031018,H787,c_h787
FRIULI VENEZIA GIULIA,GORIZIA,SAN FLORIANO DEL COLLIO,351,0,0.0,0,0,Invariato,2026-03,0,351,2026-09-15,031019,H845,c_h845
FRIULI VENEZIA GIULIA,GORIZIA,SAN LORENZO ISONTINO,735,0,0.0,0,0,Invariato,2026-03,0,735,2026-09-15,031020,H964,c_h964
FRIULI VENEZIA GIULIA,GORIZIA,SAN PIER D'ISONZO,1492,1492,100.0,0,0,Invariato,2026-08,1492,1492,2026-09-15,031021,I082,c_i082
FRIULI VENEZIA GIULIA,GORIZIA,SAVOGNA D'ISONZO,796,15,1.88,0,0,Invariato,2026-03,15,796,2026-09-15,031022,I479,c_l082
FRIULI VENEZIA GIULIA,GORIZIA,STARANZANO,2687,0,0.0,0,0,Invariato,2026-08,0,2687,2026-09-15,031023,I939,c_i939
FRIULI VENEZIA GIULIA,GORIZIA,TURRIACO,1366,1366,100.0,1,0,Aggiunte coordinate,2026-09,1365,1366,2026-09-15,031024,L474,c_l474
FRIULI VENEZIA GIULIA,GORIZIA,VILLESSE,880,0,0.0,0,0,Invariato,2026-08,0,880,2026-09-15,031025,M043,c_m043
FRIULI VENEZIA GIULIA,PORDENONE,ANDREIS,928,0,0.0,0,0,Invariato,2026-08,0,928,2026-09-15,093001,A283,c_a283
FRIULI VENEZIA GIULIA,PORDENONE,ARBA,1150,0,0.0,0,0,Invariato,2026-08,0,1150,2026-09-15,093002,A354,c_a354
FRIULI VENEZIA GIULIA,PORDENONE,AVIANO,7231,0,0.0,0,0,Invariato,2026-03,0,7231,2026-09-15,093004,A516,c_a516
FRIULI VENEZIA GIULIA,PORDENONE,AZZANO DECIMO,7754,0,0.0,0,0,Invariato,2026-08,0,7754,2026-09-15,093005,A530,c_a530
FRIULI VENEZIA GIULIA,PORDENONE,BARCIS,679,0,0.0,0,0,Invariato,2026-08,0,679,2026-09-15,093006,A640,c_a640
FRIULI VENEZIA GIULIA,PORDENONE,BRUGNERA,3820,0,0.0,0,0,Invariato,2026-03,0,3820,2026-09-15,093007,B215,c_b215
FRIULI VENEZIA GIULIA,PORDENONE,BUDOIA,2066,1167,56.49,1166,3,Aggiunti civici e coordinate,2026-09,1,2063,2026-09-15,093008,B247,c_b247
FRIULI VENEZIA GIULIA,PORDENONE,CANEVA,3866,0,0.0,0,0,Invariato,2026-03,0,3866,2026-09-15,093009,B598,c_b598
FRIULI VENEZIA GIULIA,PORDENONE,CASARSA DELLA DELIZIA,4070,0,0.0,0,0,Invariato,2026-08,0,4070,2026-09-15,093010,B940,c_b940
