REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
LAZIO,FROSINONE,ACQUAFONDATA,1002,0,0.0,0,0,Invariato,2026-03,0,1002,2026-07-31,060001,A032,c_a032
LAZIO,FROSINONE,ACUTO,1759,1759,100.0,0,0,Invariato,2026-03,1759,1759,2026-07-31,060002,A054,c_a054
LAZIO,FROSINONE,ALATRI,13258,13258,100.0,0,0,Invariato,2026-03,13258,13258,2026-07-31,060003,A123,c_a123
LAZIO,FROSINONE,ALVITO,3520,3520,100.0,0,0,Invariato,2026-03,3520,3520,2026-07-31,060004,A244,c_a244
LAZIO,FROSINONE,AMASENO,1011,0,0.0,0,0,Invariato,2026-03,0,1011,2026-07-31,060005,A256,c_a256
LAZIO,FROSINONE,ANAGNI,10838,10814,99.78,0,0,Invariato,2026-07,10814,10838,2026-07-31,060006,A269,c_a269
LAZIO,FROSINONE,AQUINO,1841,0,0.0,0,0,Invariato,2026-03,0,1841,2026-07-31,060007,A348,c_a348
LAZIO,FROSINONE,ARCE,3825,582,15.22,0,0,Invariato,2026-07,582,3825,2026-07-31,060008,A363,c_a363
LAZIO,FROSINONE,ARNARA,1120,1120,100.0,0,0,Invariato,2026-03,1120,1120,2026-07-31,060009,A421,c_a421
LAZIO,FROSINONE,ARPINO,3304,0,0.0,0,0,Invariato,2026-03,0,3304,2026-07-31,060010,A433,c_a433
LAZIO,FROSINONE,ATINA,2063,2062,99.95,0,1,Aggiunti civici,2026-08,2062,2062,2026-07-31,060011,A486,c_a486
LAZIO,FROSINONE,AUSONIA,2195,2195,100.0,0,0,Invariato,2026-03,2195,2195,2026-07-31,060012,A502,c_a502
LAZIO,FROSINONE,BELMONTE CASTELLO,653,0,0.0,0,0,Invariato,2026-03,0,653,2026-07-31,060013,A763,c_a763
LAZIO,FROSINONE,BOVILLE ERNICA,2737,2737,100.0,0,0,Invariato,2026-03,2737,2737,2026-07-31,060014,A720,c_a720
LAZIO,FROSINONE,BROCCOSTELLA,1440,1440,100.0,0,0,Invariato,2026-03,1440,1440,2026-07-31,060015,B195,c_b195
LAZIO,FROSINONE,CAMPOLI APPENNINO,1943,0,0.0,0,0,Invariato,2026-07,0,1943,2026-07-31,060016,B543,c_b543
LAZIO,FROSINONE,CASALATTICO,1560,1560,100.0,0,0,Invariato,2026-03,1560,1560,2026-07-31,060017,B862,c_b862
LAZIO,FROSINONE,CASALVIERI,3812,3812,100.0,0,0,Invariato,2026-03,3812,3812,2026-07-31,060018,B919,c_b919
LAZIO,FROSINONE,CASSINO,11286,11286,100.0,0,0,Invariato,2026-03,11286,11286,2026-07-31,060019,C034,c_c034
LAZIO,FROSINONE,CASTELLIRI,2487,2487,100.0,0,0,Invariato,2026-03,2487,2487,2026-07-31,060020,C177,c_c177
LAZIO,FROSINONE,CASTELNUOVO PARANO,553,0,0.0,0,0,Invariato,2026-03,0,553,2026-07-31,060021,C223,c_c223
LAZIO,FROSINONE,CASTRO DEI VOLSCI,2380,2380,100.0,0,0,Invariato,2026-07,2380,2380,2026-07-31,060023,C338,c_c338
LAZIO,FROSINONE,CASTROCIELO,3420,415,12.13,415,0,Aggiunte coordinate,2026-08,0,3420,2026-07-31,060022,C340,c_c340
LAZIO,FROSINONE,CECCANO,8391,8391,100.0,0,0,Invariato,2026-03,8391,8391,2026-07-31,060024,C413,c_c413
LAZIO,FROSINONE,CEPRANO,2033,0,0.0,0,0,Invariato,2026-03,0,2033,2026-07-31,060025,C479,c_c479
LAZIO,FROSINONE,CERVARO,4742,36,0.76,0,0,Invariato,2026-03,36,4742,2026-07-31,060026,C545,c_c545
LAZIO,FROSINONE,COLFELICE,945,0,0.0,0,0,Invariato,2026-03,0,945,2026-07-31,060027,C836,c_c836
LAZIO,FROSINONE,COLLE SAN MAGNO,925,925,100.0,0,0,Invariato,2026-07,925,925,2026-07-31,060029,C870,c_c870
LAZIO,FROSINONE,COLLEPARDO,1220,1220,100.0,0,0,Invariato,2026-03,1220,1220,2026-07-31,060028,C864,c_c864
LAZIO,FROSINONE,CORENO AUSONIO,1328,1250,94.13,0,78,Aggiunti civici,2026-08,1250,1250,2026-07-31,060030,C998,c_c998
LAZIO,FROSINONE,ESPERIA,4620,4525,97.94,0,0,Invariato,2026-07,4525,4620,2026-07-31,060031,D440,c_d440
LAZIO,FROSINONE,FALVATERRA,716,716,100.0,0,0,Invariato,2026-07,716,716,2026-07-31,060032,D483,c_d483
LAZIO,FROSINONE,FERENTINO,10168,10168,100.0,0,0,Invariato,2026-03,10168,10168,2026-07-31,060033,D539,c_d539
LAZIO,FROSINONE,FILETTINO,1504,1504,100.0,0,0,Invariato,2026-03,1504,1504,2026-07-31,060034,D591,c_d591
LAZIO,FROSINONE,FIUGGI,3947,0,0.0,0,0,Invariato,2026-03,0,3947,2026-07-31,060035,A310,c_a310
LAZIO,FROSINONE,FONTANA LIRI,1973,1973,100.0,1973,0,Aggiunte coordinate,2026-08,0,1973,2026-07-31,060036,D667,c_d667
LAZIO,FROSINONE,FONTECHIARI,1065,0,0.0,0,0,Invariato,2026-03,0,1065,2026-07-31,060037,D682,c_d682
LAZIO,FROSINONE,FROSINONE,23657,23615,99.82,0,0,Invariato,2026-07,23615,23657,2026-07-31,060038,D810,c_d810
LAZIO,FROSINONE,FUMONE,1697,1697,100.0,0,0,Invariato,2026-03,1697,1697,2026-07-31,060039,D819,c_d819
LAZIO,FROSINONE,GALLINARO,1358,1358,100.0,0,0,Invariato,2026-03,1358,1358,2026-07-31,060040,D881,c_d881
LAZIO,FROSINONE,GIULIANO DI ROMA,1609,1609,100.0,0,0,Invariato,2026-03,1609,1609,2026-07-31,060041,E057,c_e057
LAZIO,FROSINONE,GUARCINO,1774,1,0.06,0,0,Invariato,2026-03,1,1774,2026-07-31,060042,E236,c_e236
LAZIO,FROSINONE,ISOLA DEL LIRI,8180,0,0.0,0,0,Invariato,2026-03,0,8180,2026-07-31,060043,E340,c_e340
LAZIO,FROSINONE,MONTE SAN GIOVANNI CAMPANO,3218,3218,100.0,0,0,Invariato,2026-03,3218,3218,2026-07-31,060044,F620,c_f620
LAZIO,FROSINONE,MOROLO,2364,0,0.0,0,0,Invariato,2026-03,0,2364,2026-07-31,060045,F740,c_f740
LAZIO,FROSINONE,PALIANO,3522,208,5.91,0,0,Invariato,2026-07,208,3522,2026-07-31,060046,G276,c_g276
LAZIO,FROSINONE,PASTENA,1258,1258,100.0,0,0,Invariato,2026-07,1258,1258,2026-07-31,060047,G362,c_g362
LAZIO,FROSINONE,PATRICA,2317,2317,100.0,0,0,Invariato,2026-03,2317,2317,2026-07-31,060048,G374,c_g374
LAZIO,FROSINONE,PESCOSOLIDO,1390,1390,100.0,0,0,Invariato,2026-03,1390,1390,2026-07-31,060049,G500,c_g500
LAZIO,FROSINONE,PICINISCO,1546,1517,98.12,0,29,Aggiunti civici,2026-08,1517,1517,2026-07-31,060050,G591,c_g591
LAZIO,FROSINONE,PICO,1075,0,0.0,0,0,Invariato,2026-03,0,1075,2026-07-31,060051,G592,c_g592
LAZIO,FROSINONE,PIEDIMONTE SAN GERMANO,3152,3152,100.0,0,0,Invariato,2026-03,3152,3152,2026-07-31,060052,G598,c_g598
LAZIO,FROSINONE,PIGLIO,3428,3428,100.0,0,0,Invariato,2026-03,3428,3428,2026-07-31,060053,G659,c_g659
LAZIO,FROSINONE,PIGNATARO INTERAMNA,911,911,100.0,0,0,Invariato,2026-03,911,911,2026-07-31,060054,G662,c_g662
LAZIO,FROSINONE,POFI,2311,2311,100.0,0,0,Invariato,2026-03,2311,2311,2026-07-31,060055,G749,c_g749
LAZIO,FROSINONE,PONTECORVO,4587,4587,100.0,0,0,Invariato,2026-03,4587,4587,2026-07-31,060056,G838,c_g838
LAZIO,FROSINONE,POSTA FIBRENO,1703,0,0.0,0,0,Invariato,2026-07,0,1703,2026-07-31,060057,G935,c_g935
LAZIO,FROSINONE,RIPI,2619,0,0.0,0,0,Invariato,2026-03,0,2619,2026-07-31,060058,H324,c_h324
LAZIO,FROSINONE,ROCCA D'ARCE,901,0,0.0,0,0,Invariato,2026-03,0,901,2026-07-31,060059,H393,c_H393
LAZIO,FROSINONE,ROCCASECCA,3741,0,0.0,0,0,Invariato,2026-03,0,3741,2026-07-31,060060,H443,c_h4439
LAZIO,FROSINONE,SAN BIAGIO SARACINISCO,974,974,100.0,0,0,Invariato,2026-03,974,974,2026-07-31,060061,H779,c_h779
LAZIO,FROSINONE,SAN DONATO VAL DI COMINO,3624,3624,100.0,0,0,Invariato,2026-03,3624,3624,2026-07-31,060062,H824,c_h824
LAZIO,FROSINONE,SAN GIORGIO A LIRI,1713,1713,100.0,0,0,Invariato,2026-07,1713,1713,2026-07-31,060063,H880,c_h880
LAZIO,FROSINONE,SAN GIOVANNI INCARICO,2567,2567,100.0,0,0,Invariato,2026-03,2567,2567,2026-07-31,060064,H917,c_h917
LAZIO,FROSINONE,SAN VITTORE DEL LAZIO,745,0,0.0,0,0,Invariato,2026-03,0,745,2026-07-31,060070,I408,c_i408
LAZIO,FROSINONE,SANT'AMBROGIO SUL GARIGLIANO,707,707,100.0,0,0,Invariato,2026-03,707,707,2026-07-31,060065,I256,C_I256
LAZIO,FROSINONE,SANT'ANDREA DEL GARIGLIANO,1059,0,0.0,0,0,Invariato,2026-03,0,1059,2026-07-31,060066,I265,c_i265
LAZIO,FROSINONE,SANT'APOLLINARE,1670,0,0.0,0,0,Invariato,2026-03,0,1670,2026-07-31,060067,I302,c_i302
LAZIO,FROSINONE,SANT'ELIA FIUMERAPIDO,1702,1702,100.0,0,0,Invariato,2026-03,1702,1702,2026-07-31,060068,I321,c_i321
LAZIO,FROSINONE,SANTOPADRE,1341,1341,100.0,0,0,Invariato,2026-03,1341,1341,2026-07-31,060069,I351,c_i351
LAZIO,FROSINONE,SERRONE,3879,3879,100.0,0,0,Invariato,2026-03,3879,3879,2026-07-31,060071,I669,c_i669
LAZIO,FROSINONE,SETTEFRATI,1055,1055,100.0,0,0,Invariato,2026-03,1055,1055,2026-07-31,060072,I697,c_i697
LAZIO,FROSINONE,SGURGOLA,1029,0,0.0,0,0,Invariato,2026-03,0,1029,2026-07-31,060073,I716,c_i716
LAZIO,FROSINONE,SORA,9828,0,0.0,0,0,Invariato,2026-03,0,9828,2026-07-31,060074,I838,c_i838
LAZIO,FROSINONE,STRANGOLAGALLI,1230,1230,100.0,0,0,Invariato,2026-03,1230,1230,2026-07-31,060075,I973,c_i973
LAZIO,FROSINONE,SUPINO,3220,0,0.0,0,110,Aggiunti civici,2026-08,0,3110,2026-07-31,060076,L009,c_l009
LAZIO,FROSINONE,TERELLE,636,636,100.0,0,0,Invariato,2026-03,636,636,2026-07-31,060077,L105,c_l105
LAZIO,FROSINONE,TORRE CAJETANI,972,972,100.0,0,0,Invariato,2026-07,972,972,2026-07-31,060078,L243,c_I243
LAZIO,FROSINONE,TORRICE,4939,3954,80.06,0,0,Invariato,2026-07,3954,4939,2026-07-31,060079,L290,c_l290
LAZIO,FROSINONE,TREVI NEL LAZIO,3315,0,0.0,0,0,Invariato,2026-03,0,3315,2026-07-31,060080,L398,c_l398
LAZIO,FROSINONE,TRIVIGLIANO,1271,1271,100.0,0,0,Invariato,2026-03,1271,1271,2026-07-31,060081,L437,c_l437
LAZIO,FROSINONE,VALLECORSA,982,0,0.0,0,0,Invariato,2026-03,0,982,2026-07-31,060082,L598,c_l598
LAZIO,FROSINONE,VALLEMAIO,714,714,100.0,0,0,Invariato,2026-07,714,714,2026-07-31,060083,L605,c_l605
LAZIO,FROSINONE,VALLEROTONDA,3283,3230,98.39,0,0,Invariato,2026-07,3230,3283,2026-07-31,060084,L614,c_m083
LAZIO,FROSINONE,VEROLI,9765,9765,100.0,0,0,Invariato,2026-03,9765,9765,2026-07-31,060085,L780,c_l780
LAZIO,FROSINONE,VICALVI,536,536,100.0,0,0,Invariato,2026-03,536,536,2026-07-31,060086,L836,c_l836
LAZIO,FROSINONE,VICO NEL LAZIO,2227,2227,100.0,0,0,Invariato,2026-03,2227,2227,2026-07-31,060087,L843,c_l843
LAZIO,FROSINONE,VILLA LATINA,720,720,100.0,0,0,Invariato,2026-03,720,720,2026-07-31,060088,A081,ca081
LAZIO,FROSINONE,VILLA SANTA LUCIA,1795,1795,100.0,0,0,Invariato,2026-03,1795,1795,2026-07-31,060089,L905,c_l905
LAZIO,FROSINONE,VILLA SANTO STEFANO,1178,1178,100.0,0,0,Invariato,2026-03,1178,1178,2026-07-31,060090,I364,c_i364
LAZIO,FROSINONE,VITICUSO,570,570,100.0,0,0,Invariato,2026-07,570,570,2026-07-31,060091,M083,c_ddt8
LAZIO,LATINA,APRILIA,25088,25088,100.0,0,0,Invariato,2026-03,25088,25088,2026-07-31,059001,A341,c_a341
LAZIO,LATINA,BASSIANO,968,968,100.0,0,0,Invariato,2026-03,968,968,2026-07-31,059002,A707,c_a707
LAZIO,LATINA,CAMPODIMELE,759,759,100.0,0,0,Invariato,2026-03,759,759,2026-07-31,059003,B527,c_b527
LAZIO,LATINA,CASTELFORTE,2134,2134,100.0,0,0,Invariato,2026-03,2134,2134,2026-07-31,059004,C104,c_c104
LAZIO,LATINA,CISTERNA DI LATINA,10395,0,0.0,0,0,Invariato,2026-03,0,10395,2026-07-31,059005,C740,c_c740
LAZIO,LATINA,CORI,6897,6897,100.0,0,0,Invariato,2026-03,6897,6897,2026-07-31,059006,D003,c_d003
LAZIO,LATINA,FONDI,17939,17939,100.0,0,0,Invariato,2026-03,17939,17939,2026-07-31,059007,D662,c_d662
LAZIO,LATINA,FORMIA,8853,0,0.0,0,0,Invariato,2026-03,0,8853,2026-07-31,059008,D708,c_d708
LAZIO,LATINA,GAETA,6156,923,14.99,0,0,Invariato,2026-07,923,6156,2026-07-31,059009,D843,c_d843
LAZIO,LATINA,ITRI,11150,11150,100.0,0,0,Invariato,2026-03,11150,11150,2026-07-31,059010,E375,c_e375
LAZIO,LATINA,LATINA,25967,25967,100.0,0,0,Invariato,2026-03,25967,25967,2026-07-31,059011,E472,c_e472
