REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
LIGURIA,GENOVA,ARENZANO,5552,5552,100.0,4,4,Aggiunti civici e coordinate,2026-09,5548,5548,2026-09-15,010001,A388,c_a388
LIGURIA,GENOVA,AVEGNO,1985,35,1.76,0,0,Invariato,2026-08,35,1985,2026-09-15,010002,A506,c_a506
LIGURIA,GENOVA,BARGAGLI,2160,2160,100.0,0,0,Invariato,2026-08,2160,2160,2026-09-15,010003,A658,c_a658
LIGURIA,GENOVA,BOGLIASCO,1454,0,0.0,0,0,Invariato,2026-08,0,1454,2026-09-15,010004,A922,c_a922
LIGURIA,GENOVA,BORZONASCA,2346,2346,100.0,0,0,Invariato,2026-08,2346,2346,2026-09-15,010005,B067,c_b067
LIGURIA,GENOVA,BUSALLA,2346,0,0.0,0,0,Invariato,2026-08,0,2346,2026-09-15,010006,B282,c_b282
LIGURIA,GENOVA,CAMOGLI,3417,0,0.0,0,0,Invariato,2026-03,0,3417,2026-09-15,010007,B490,c_b490
LIGURIA,GENOVA,CAMPO LIGURE,2529,2529,100.0,0,0,Invariato,2026-03,2529,2529,2026-09-15,010008,B538,c_b538
LIGURIA,GENOVA,CAMPOMORONE,4136,0,0.0,0,0,Invariato,2026-03,0,4136,2026-09-15,010009,B551,c_b551
LIGURIA,GENOVA,CARASCO,2088,0,0.0,0,0,Invariato,2026-03,0,2088,2026-09-15,010010,B726,c_b726
LIGURIA,GENOVA,CASARZA LIGURE,2541,2541,100.0,0,0,Invariato,2026-03,2541,2541,2026-09-15,010011,B939,c_b939
