REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
LOMBARDIA,BERGAMO,ADRARA SAN MARTINO,1884,1884,100.0,0,0,Invariato,2026-03,1884,1884,2026-07-31,016001,A057,c_a057
LOMBARDIA,BERGAMO,ADRARA SAN ROCCO,983,929,94.51,0,54,Aggiunti civici,2026-07,929,929,2026-07-31,016002,A058,c_a058
LOMBARDIA,BERGAMO,ALBANO SANT'ALESSANDRO,2473,2473,100.0,0,0,Invariato,2026-03,2473,2473,2026-07-31,016003,A129,c_a129
LOMBARDIA,BERGAMO,ALBINO,4857,4857,100.0,0,0,Invariato,2026-03,4857,4857,2026-07-31,016004,A163,c_a163
LOMBARDIA,BERGAMO,ALGUA,428,0,0.0,0,0,Invariato,2026-03,0,428,2026-07-31,016248,A193,c_a193
LOMBARDIA,BERGAMO,ALME',1849,0,0.0,0,0,Invariato,2026-03,0,1849,2026-07-31,016005,A214,c_a214
LOMBARDIA,BERGAMO,ALMENNO SAN BARTOLOMEO,2964,2964,100.0,0,0,Invariato,2026-03,2964,2964,2026-07-31,016006,A216,c_a216
LOMBARDIA,BERGAMO,ALMENNO SAN SALVATORE,1800,1800,100.0,0,0,Invariato,2026-03,1800,1800,2026-07-31,016007,A217,c_a217
LOMBARDIA,BERGAMO,ALZANO LOMBARDO,4303,4303,100.0,0,0,Invariato,2026-03,4303,4303,2026-07-31,016008,A246,c_a246
LOMBARDIA,BERGAMO,AMBIVERE,643,643,100.0,0,0,Invariato,2026-03,643,643,2026-07-31,016009,A259,c_a259
LOMBARDIA,BERGAMO,ANTEGNATE,2058,0,0.0,0,0,Invariato,2026-03,0,2058,2026-07-31,016010,A304,c_a304
LOMBARDIA,BERGAMO,ARCENE,1171,0,0.0,0,0,Invariato,2026-03,0,1171,2026-07-31,016011,A365,c_a365
LOMBARDIA,BERGAMO,ARDESIO,1395,1395,100.0,1395,0,Aggiunte coordinate,2026-07,0,1395,2026-07-31,016012,A383,c_a383
LOMBARDIA,BERGAMO,ARZAGO D'ADDA,1608,1608,100.0,0,0,Invariato,2026-03,1608,1608,2026-07-31,016013,A440,c_a440
LOMBARDIA,BERGAMO,AVERARA,447,447,100.0,0,0,Invariato,2026-03,447,447,2026-07-31,016014,A511,c_a511
LOMBARDIA,BERGAMO,AVIATICO,620,349,56.29,348,0,Aggiunte coordinate,2026-07,1,620,2026-07-31,016015,A517,c_a517
LOMBARDIA,BERGAMO,AZZANO SAN PAOLO,1905,1905,100.0,0,0,Invariato,2026-03,1905,1905,2026-07-31,016016,A528,C_A528
LOMBARDIA,BERGAMO,AZZONE,248,248,100.0,0,0,Invariato,2026-03,248,248,2026-07-31,016017,A533,c_a533
LOMBARDIA,BERGAMO,BAGNATICA,1146,1146,100.0,0,0,Invariato,2026-03,1146,1146,2026-07-31,016018,A557,c_a557
LOMBARDIA,BERGAMO,BARBATA,321,321,100.0,0,0,Invariato,2026-07,321,321,2026-07-31,016019,A631,c_a631
LOMBARDIA,BERGAMO,BARIANO,1441,1392,96.6,0,49,Aggiunti civici,2026-07,1392,1392,2026-07-31,016020,A664,c_a664
LOMBARDIA,BERGAMO,BARZANA,684,0,0.0,0,0,Invariato,2026-03,0,684,2026-07-31,016021,A684,c_a684
LOMBARDIA,BERGAMO,BEDULITA,479,0,0.0,0,0,Invariato,2026-03,0,479,2026-07-31,016022,A732,c_a732
LOMBARDIA,BERGAMO,BERBENNO,1434,1434,100.0,0,0,Invariato,2026-07,1434,1434,2026-07-31,016023,A786,c_a786
LOMBARDIA,BERGAMO,BERGAMO,25894,2553,9.86,2548,0,Aggiunte coordinate,2026-07,5,25894,2026-07-31,016024,A794,c_a794
LOMBARDIA,BERGAMO,BERZO SAN FERMO,420,0,0.0,0,0,Invariato,2026-03,0,420,2026-07-31,016025,A815,c_a815
LOMBARDIA,BERGAMO,BIANZANO,473,473,100.0,473,0,Aggiunte coordinate,2026-07,0,473,2026-07-31,016026,A846,c_a846
LOMBARDIA,BERGAMO,BLELLO,82,0,0.0,0,0,Invariato,2026-03,0,82,2026-07-31,016027,A903,c_a903
LOMBARDIA,BERGAMO,BOLGARE,2978,0,0.0,0,0,Invariato,2026-03,0,2978,2026-07-31,016028,A937,c_a937
LOMBARDIA,BERGAMO,BOLTIERE,1252,730,58.31,730,0,Aggiunte coordinate,2026-07,0,1252,2026-07-31,016029,A950,c_a950
