REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
MARCHE,ANCONA,AGUGLIANO,1899,1899,100.0,0,0,Invariato,2026-03,1899,1899,2026-09-15,042001,A092,c_a092
MARCHE,ANCONA,ANCONA,27452,27452,100.0,0,0,Invariato,2026-03,27452,27452,2026-09-15,042002,A271,c_a271
MARCHE,ANCONA,ARCEVIA,4948,4948,100.0,0,0,Invariato,2026-03,4948,4948,2026-09-15,042003,A366,c_a366
MARCHE,ANCONA,BARBARA,1204,1204,100.0,0,0,Invariato,2026-03,1204,1204,2026-09-15,042004,A626,c_a626
MARCHE,ANCONA,BELVEDERE OSTRENSE,1258,1258,100.0,0,0,Invariato,2026-03,1258,1258,2026-09-15,042005,A769,c_a769
MARCHE,ANCONA,CAMERANO,2958,0,0.0,0,0,Invariato,2026-03,0,2958,2026-09-15,042006,B468,c_b468
MARCHE,ANCONA,CAMERATA PICENA,1163,0,0.0,0,0,Invariato,2026-08,0,1163,2026-09-15,042007,B470,c_b470
MARCHE,ANCONA,CASTELBELLINO,2935,2935,100.0,0,0,Invariato,2026-03,2935,2935,2026-09-15,042008,C060,c_c060
MARCHE,ANCONA,CASTELFIDARDO,7500,475,6.33,0,0,Invariato,2026-03,475,7500,2026-09-15,042010,C100,c_c100
MARCHE,ANCONA,CASTELLEONE DI SUASA,976,0,0.0,0,0,Invariato,2026-03,0,976,2026-09-15,042011,C152,c_c152
MARCHE,ANCONA,CASTELPLANIO,2365,2365,100.0,0,0,Invariato,2026-03,2365,2365,2026-09-15,042012,C248,c_c248
MARCHE,ANCONA,CERRETO D'ESI,1780,0,0.0,0,0,Invariato,2026-03,0,1780,2026-09-15,042013,C524,c_c524
MARCHE,ANCONA,CHIARAVALLE,5904,5904,100.0,0,0,Invariato,2026-08,5904,5904,2026-09-15,042014,C615,c_c615
MARCHE,ANCONA,CORINALDO,4858,0,0.0,0,0,Invariato,2026-08,0,4858,2026-09-15,042015,D007,c_d007
MARCHE,ANCONA,CUPRAMONTANA,3542,0,0.0,0,0,Invariato,2026-03,0,3542,2026-09-15,042016,D211,c_d211
MARCHE,ANCONA,FABRIANO,13562,13562,100.0,0,0,Invariato,2026-03,13562,13562,2026-09-15,042017,D451,c_d451
MARCHE,ANCONA,FALCONARA MARITTIMA,6022,6022,100.0,0,0,Invariato,2026-08,6022,6022,2026-09-15,042018,D472,c_d472
MARCHE,ANCONA,FILOTTRANO,4687,4687,100.0,0,0,Invariato,2026-03,4687,4687,2026-09-15,042019,D597,c_d597
MARCHE,ANCONA,GENGA,1698,1698,100.0,0,0,Invariato,2026-03,1698,1698,2026-09-15,042020,D965,c_d965
MARCHE,ANCONA,JESI,18524,18524,100.0,0,0,Invariato,2026-08,18524,18524,2026-09-15,042021,E388,c_e388
MARCHE,ANCONA,LORETO,5984,5984,100.0,0,0,Invariato,2026-03,5984,5984,2026-09-15,042022,E690,c_e690
MARCHE,ANCONA,MAIOLATI SPONTINI,4469,4465,99.91,-1,3,In calo,2026-09,4466,4466,2026-09-15,042023,E837,c_e837
MARCHE,ANCONA,MERGO,613,2,0.33,0,0,Invariato,2026-03,2,613,2026-09-15,042024,F145,c_f145
MARCHE,ANCONA,MONSANO,1660,0,0.0,0,0,Invariato,2026-08,0,1660,2026-09-15,042025,F381,c_f381
MARCHE,ANCONA,MONTE ROBERTO,2071,2067,99.81,0,0,Invariato,2026-03,2067,2071,2026-09-15,042029,F600,c_f600
MARCHE,ANCONA,MONTE SAN VITO,2514,2514,100.0,0,0,Invariato,2026-03,2514,2514,2026-09-15,042030,F634,c_f634
MARCHE,ANCONA,MONTECAROTTO,1713,1713,100.0,0,0,Invariato,2026-08,1713,1713,2026-09-15,042026,F453,c_f453
MARCHE,ANCONA,MONTEMARCIANO,5550,5550,100.0,0,0,Invariato,2026-03,5550,5550,2026-09-15,042027,F560,c_f560
MARCHE,ANCONA,MORRO D'ALBA,1025,1025,100.0,0,0,Invariato,2026-03,1025,1025,2026-09-15,042031,F745,c_f745
MARCHE,ANCONA,NUMANA,4437,4437,100.0,0,0,Invariato,2026-03,4437,4437,2026-09-15,042032,F978,c_f978
MARCHE,ANCONA,OFFAGNA,980,980,100.0,0,0,Invariato,2026-03,980,980,2026-09-15,042033,G003,c_g003
MARCHE,ANCONA,OSIMO,12582,9,0.07,0,0,Invariato,2026-08,9,12582,2026-09-15,042034,G157,c_g157
MARCHE,ANCONA,OSTRA,3831,3831,100.0,0,0,Invariato,2026-03,3831,3831,2026-09-15,042035,F401,c_f401
MARCHE,ANCONA,OSTRA VETERE,1883,1883,100.0,0,0,Invariato,2026-03,1883,1883,2026-09-15,042036,F581,c_f581
MARCHE,ANCONA,POGGIO SAN MARCELLO,452,0,0.0,0,0,Invariato,2026-03,0,452,2026-09-15,042037,G771,c_g771
MARCHE,ANCONA,POLVERIGI,2030,2030,100.0,0,0,Invariato,2026-08,2030,2030,2026-09-15,042038,G803,c_g803
