REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
MOLISE,CAMPOBASSO,ACQUAVIVA COLLECROCE,536,536,100.0,0,0,Invariato,2026-03,536,536,2026-07-31,070001,A050,C_A050
MOLISE,CAMPOBASSO,BARANELLO,1387,1387,100.0,0,0,Invariato,2026-03,1387,1387,2026-07-31,070002,A616,c_a616
MOLISE,CAMPOBASSO,BOJANO,6743,6743,100.0,0,0,Invariato,2026-03,6743,6743,2026-07-31,070003,A930,c_a930
MOLISE,CAMPOBASSO,BONEFRO,3612,3612,100.0,0,0,Invariato,2026-03,3612,3612,2026-07-31,070004,A971,c_a971
MOLISE,CAMPOBASSO,BUSSO,1082,1082,100.0,0,0,Invariato,2026-03,1082,1082,2026-07-31,070005,B295,c_b295
MOLISE,CAMPOBASSO,CAMPOBASSO,12863,479,3.72,0,0,Invariato,2026-07,479,12863,2026-07-31,070006,B519,c_b519
MOLISE,CAMPOBASSO,CAMPOCHIARO,1094,1094,100.0,0,0,Invariato,2026-03,1094,1094,2026-07-31,070007,B522,c_b522
MOLISE,CAMPOBASSO,CAMPODIPIETRA,2184,2184,100.0,0,0,Invariato,2026-03,2184,2184,2026-07-31,070008,B528,c_b528
MOLISE,CAMPOBASSO,CAMPOLIETO,856,856,100.0,0,0,Invariato,2026-03,856,856,2026-07-31,070009,B544,c_b544
MOLISE,CAMPOBASSO,CAMPOMARINO,4649,156,3.36,0,0,Invariato,2026-07,156,4649,2026-07-31,070010,B550,c_b550
MOLISE,CAMPOBASSO,CASACALENDA,2926,2824,96.51,0,0,Invariato,2026-07,2824,2926,2026-07-31,070011,B858,c_b858
MOLISE,CAMPOBASSO,CASALCIPRANO,1232,1232,100.0,0,0,Invariato,2026-03,1232,1232,2026-07-31,070012,B871,c_b871
MOLISE,CAMPOBASSO,CASTELBOTTACCIO,707,707,100.0,707,0,Aggiunte coordinate,2026-08,0,707,2026-07-31,070013,C066,c_c066
MOLISE,CAMPOBASSO,CASTELLINO DEL BIFERNO,910,910,100.0,909,0,Aggiunte coordinate,2026-08,1,910,2026-07-31,070014,C175,c_c175
MOLISE,CAMPOBASSO,CASTELMAURO,1435,1435,100.0,1435,0,Aggiunte coordinate,2026-08,0,1435,2026-07-31,070015,C197,c_c197
MOLISE,CAMPOBASSO,CASTROPIGNANO,1845,1845,100.0,0,0,Invariato,2026-03,1845,1845,2026-07-31,070016,C346,c_c346
MOLISE,CAMPOBASSO,CERCEMAGGIORE,3559,0,0.0,0,0,Invariato,2026-03,0,3559,2026-07-31,070017,C486,c_c486
MOLISE,CAMPOBASSO,CERCEPICCOLA,629,629,100.0,629,0,Aggiunte coordinate,2026-08,0,629,2026-07-31,070018,C488,c_c488
MOLISE,CAMPOBASSO,CIVITACAMPOMARANO,1155,1155,100.0,0,0,Invariato,2026-03,1155,1155,2026-07-31,070019,C764,c_c764
MOLISE,CAMPOBASSO,COLLE D'ANCHISE,973,973,100.0,0,0,Invariato,2026-03,973,973,2026-07-31,070020,C854,c_c854
MOLISE,CAMPOBASSO,COLLETORTO,3617,3617,100.0,0,0,Invariato,2026-03,3617,3617,2026-07-31,070021,C875,c_c875
MOLISE,CAMPOBASSO,DURONIA,873,873,100.0,0,0,Invariato,2026-03,873,873,2026-07-31,070022,C772,c_c772
MOLISE,CAMPOBASSO,FERRAZZANO,3592,3592,100.0,0,0,Invariato,2026-03,3592,3592,2026-07-31,070023,D550,c_d550
MOLISE,CAMPOBASSO,FOSSALTO,1567,1567,100.0,0,0,Invariato,2026-03,1567,1567,2026-07-31,070024,D737,c_d737
