REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
PIEMONTE,ALESSANDRIA,ACQUI TERME,10305,10305,100.0,0,0,Invariato,2026-03,10305,10305,2026-07-31,006001,A052,c_a052
PIEMONTE,ALESSANDRIA,ALBERA LIGURE,539,539,100.0,0,0,Invariato,2026-07,539,539,2026-07-31,006002,A146,c_a146
PIEMONTE,ALESSANDRIA,ALESSANDRIA,27340,27340,100.0,0,0,Invariato,2026-03,27340,27340,2026-07-31,006003,A182,c_a182
PIEMONTE,ALESSANDRIA,ALFIANO NATTA,743,743,100.0,0,0,Invariato,2026-03,743,743,2026-07-31,006004,A189,c_a189
PIEMONTE,ALESSANDRIA,ALICE BEL COLLE,611,611,100.0,0,0,Invariato,2026-03,611,611,2026-07-31,006005,A197,c_a197
PIEMONTE,ALESSANDRIA,ALLUVIONI PIOVERA,1521,0,0.0,0,0,Invariato,2026-03,0,1521,2026-07-31,006192,M397,c_m397
PIEMONTE,ALESSANDRIA,ALTAVILLA MONFERRATO,450,450,100.0,0,0,Invariato,2026-03,450,450,2026-07-31,006007,A227,c_a227
PIEMONTE,ALESSANDRIA,ALZANO SCRIVIA,251,251,100.0,0,0,Invariato,2026-07,251,251,2026-07-31,006008,A245,c_a245
PIEMONTE,ALESSANDRIA,ARQUATA SCRIVIA,1600,0,0.0,0,0,Invariato,2026-03,0,1600,2026-07-31,006009,A436,c_a436
PIEMONTE,ALESSANDRIA,AVOLASCA,326,326,100.0,0,0,Invariato,2026-03,326,326,2026-07-31,006010,A523,c_a523
PIEMONTE,ALESSANDRIA,BALZOLA,1364,1364,100.0,0,0,Invariato,2026-03,1364,1364,2026-07-31,006011,A605,c_a605
PIEMONTE,ALESSANDRIA,BASALUZZO,1051,1051,100.0,0,0,Invariato,2026-03,1051,1051,2026-07-31,006012,A689,c_a689
PIEMONTE,ALESSANDRIA,BASSIGNANA,1319,1319,100.0,0,0,Invariato,2026-03,1319,1319,2026-07-31,006013,A708,c_a708
PIEMONTE,ALESSANDRIA,BELFORTE MONFERRATO,333,333,100.0,0,0,Invariato,2026-03,333,333,2026-07-31,006014,A738,c_a738
PIEMONTE,ALESSANDRIA,BERGAMASCO,559,0,0.0,0,0,Invariato,2026-03,0,559,2026-07-31,006015,A793,c_a793
PIEMONTE,ALESSANDRIA,BERZANO DI TORTONA,112,0,0.0,0,0,Invariato,2026-03,0,112,2026-07-31,006016,A813,c_a813
PIEMONTE,ALESSANDRIA,BISTAGNO,1686,1686,100.0,0,0,Invariato,2026-03,1686,1686,2026-07-31,006017,A889,c_a889
PIEMONTE,ALESSANDRIA,BORGHETTO DI BORBERA,2427,2427,100.0,0,0,Invariato,2026-03,2427,2427,2026-07-31,006018,A998,c_a998
PIEMONTE,ALESSANDRIA,BORGO SAN MARTINO,790,0,0.0,0,0,Invariato,2026-03,0,790,2026-07-31,006020,B037,c_b037
PIEMONTE,ALESSANDRIA,BORGORATTO ALESSANDRINO,406,406,100.0,0,0,Invariato,2026-07,406,406,2026-07-31,006019,B029,c_b029
PIEMONTE,ALESSANDRIA,BOSCO MARENGO,2279,2279,100.0,0,0,Invariato,2026-03,2279,2279,2026-07-31,006021,B071,c_b071
PIEMONTE,ALESSANDRIA,BOSIO,818,818,100.0,0,0,Invariato,2026-03,818,818,2026-07-31,006022,B080,c_b080
PIEMONTE,ALESSANDRIA,BOZZOLE,291,291,100.0,0,0,Invariato,2026-07,291,291,2026-07-31,006023,B109,c_b109
PIEMONTE,ALESSANDRIA,BRIGNANO-FRASCATA,524,0,0.0,0,0,Invariato,2026-03,0,524,2026-07-31,006024,B179,c_b179
PIEMONTE,ALESSANDRIA,CABELLA LIGURE,1141,1141,100.0,0,0,Invariato,2026-03,1141,1141,2026-07-31,006025,B311,c_b311
PIEMONTE,ALESSANDRIA,CAMAGNA MONFERRATO,867,867,100.0,0,0,Invariato,2026-03,867,867,2026-07-31,006026,B453,c_b453
PIEMONTE,ALESSANDRIA,CAMINO,883,883,100.0,0,0,Invariato,2026-03,883,883,2026-07-31,006027,B482,c_b482
PIEMONTE,ALESSANDRIA,CANTALUPO LIGURE,787,787,100.0,0,0,Invariato,2026-03,787,787,2026-07-31,006028,B629,c_b629
PIEMONTE,ALESSANDRIA,CAPRIATA D'ORBA,1473,1473,100.0,0,0,Invariato,2026-03,1473,1473,2026-07-31,006029,B701,c_b701
PIEMONTE,ALESSANDRIA,CARBONARA SCRIVIA,797,797,100.0,797,0,Aggiunte coordinate,2026-07,0,797,2026-07-31,006030,B736,c_b736
PIEMONTE,ALESSANDRIA,CARENTINO,252,252,100.0,0,0,Invariato,2026-03,252,252,2026-07-31,006031,B765,c_b765
PIEMONTE,ALESSANDRIA,CAREZZANO,892,0,0.0,0,0,Invariato,2026-03,0,892,2026-07-31,006032,B769,c_b769
PIEMONTE,ALESSANDRIA,CARPENETO,1323,1323,100.0,0,0,Invariato,2026-03,1323,1323,2026-07-31,006033,B818,c_b818
PIEMONTE,ALESSANDRIA,CARREGA LIGURE,757,757,100.0,0,0,Invariato,2026-03,757,757,2026-07-31,006034,B836,c_b836
PIEMONTE,ALESSANDRIA,CARROSIO,340,340,100.0,340,0,Aggiunte coordinate,2026-07,0,340,2026-07-31,006035,B840,c_b840
PIEMONTE,ALESSANDRIA,CARTOSIO,902,893,99.0,0,9,Aggiunti civici,2026-07,893,893,2026-07-31,006036,B847,c_b847
PIEMONTE,ALESSANDRIA,CASAL CERMELLI,1053,1053,100.0,0,0,Invariato,2026-03,1053,1053,2026-07-31,006037,B870,c_b870
PIEMONTE,ALESSANDRIA,CASALE MONFERRATO,10851,10851,100.0,0,0,Invariato,2026-03,10851,10851,2026-07-31,006039,B885,c_b885
PIEMONTE,ALESSANDRIA,CASALEGGIO BOIRO,392,392,100.0,392,0,Aggiunte coordinate,2026-07,0,392,2026-07-31,006038,B882,c_b882
PIEMONTE,ALESSANDRIA,CASALNOCETO,569,569,100.0,0,0,Invariato,2026-03,569,569,2026-07-31,006040,B902,c_b902
PIEMONTE,ALESSANDRIA,CASASCO,208,208,100.0,0,0,Invariato,2026-03,208,208,2026-07-31,006041,B941,c_b941
PIEMONTE,ALESSANDRIA,CASSANO SPINOLA,1279,1279,100.0,0,0,Invariato,2026-03,1279,1279,2026-07-31,006191,M388,c_m388
PIEMONTE,ALESSANDRIA,CASSINE,2532,2532,100.0,0,0,Invariato,2026-03,2532,2532,2026-07-31,006043,C027,c_c027
PIEMONTE,ALESSANDRIA,CASSINELLE,1039,1039,100.0,1,0,Aggiunte coordinate,2026-07,1038,1039,2026-07-31,006044,C030,c_c030
PIEMONTE,ALESSANDRIA,CASTELLANIA COPPI,107,107,100.0,107,0,Aggiunte coordinate,2026-07,0,107,2026-07-31,006045,C137,c_c137
PIEMONTE,ALESSANDRIA,CASTELLAR GUIDOBONO,207,207,100.0,0,0,Invariato,2026-03,207,207,2026-07-31,006046,C142,c_c142
PIEMONTE,ALESSANDRIA,CASTELLAZZO BORMIDA,3163,3163,100.0,0,0,Invariato,2026-03,3163,3163,2026-07-31,006047,C148,c_c148
PIEMONTE,ALESSANDRIA,CASTELLETTO D'ERRO,178,0,0.0,0,0,Invariato,2026-03,0,178,2026-07-31,006048,C156,c_c156
PIEMONTE,ALESSANDRIA,CASTELLETTO D'ORBA,1287,0,0.0,0,0,Invariato,2026-03,0,1287,2026-07-31,006049,C158,c_c158
PIEMONTE,ALESSANDRIA,CASTELLETTO MERLI,560,560,100.0,0,0,Invariato,2026-07,560,560,2026-07-31,006050,C160,c_c160
PIEMONTE,ALESSANDRIA,CASTELLETTO MONFERRATO,1185,0,0.0,0,0,Invariato,2026-03,0,1185,2026-07-31,006051,C162,c_c162
PIEMONTE,ALESSANDRIA,CASTELNUOVO BORMIDA,680,680,100.0,0,0,Invariato,2026-03,680,680,2026-07-31,006052,C229,c_c229
PIEMONTE,ALESSANDRIA,CASTELNUOVO SCRIVIA,3278,3278,100.0,0,0,Invariato,2026-03,3278,3278,2026-07-31,006053,C243,c_c243
PIEMONTE,ALESSANDRIA,CASTELSPINA,365,365,100.0,0,0,Invariato,2026-03,365,365,2026-07-31,006054,C274,c_c274
PIEMONTE,ALESSANDRIA,CAVATORE,375,375,100.0,0,0,Invariato,2026-03,375,375,2026-07-31,006055,C387,c_c387
PIEMONTE,ALESSANDRIA,CELLA MONTE,352,352,100.0,0,0,Invariato,2026-03,352,352,2026-07-31,006056,C432,c_c432
PIEMONTE,ALESSANDRIA,CERESETO,386,386,100.0,0,0,Invariato,2026-03,386,386,2026-07-31,006057,C503,c_c503
PIEMONTE,ALESSANDRIA,CERRETO GRUE,289,0,0.0,0,0,Invariato,2026-03,0,289,2026-07-31,006058,C507,c_c507
PIEMONTE,ALESSANDRIA,CERRINA MONFERRATO,999,0,0.0,0,0,Invariato,2026-03,0,999,2026-07-31,006059,C531,c_c531
PIEMONTE,ALESSANDRIA,CONIOLO,403,403,100.0,0,0,Invariato,2026-03,403,403,2026-07-31,006060,C962,c_c962
PIEMONTE,ALESSANDRIA,CONZANO,820,139,16.95,0,0,Invariato,2026-03,139,820,2026-07-31,006061,C977,c_c977
PIEMONTE,ALESSANDRIA,COSTA VESCOVATO,446,0,0.0,0,0,Invariato,2026-03,0,446,2026-07-31,006062,D102,c_d102
PIEMONTE,ALESSANDRIA,CREMOLINO,1015,0,0.0,0,0,Invariato,2026-03,0,1015,2026-07-31,006063,D149,c_d149
PIEMONTE,ALESSANDRIA,DENICE,187,187,100.0,0,0,Invariato,2026-03,187,187,2026-07-31,006065,D272,c_d272
PIEMONTE,ALESSANDRIA,DERNICE,262,262,100.0,0,0,Invariato,2026-03,262,262,2026-07-31,006066,D277,c_d277
PIEMONTE,ALESSANDRIA,FABBRICA CURONE,632,0,0.0,0,0,Invariato,2026-03,0,632,2026-07-31,006067,D447,c_d447
PIEMONTE,ALESSANDRIA,FELIZZANO,1225,0,0.0,0,0,Invariato,2026-03,0,1225,2026-07-31,006068,D528,c_d528
PIEMONTE,ALESSANDRIA,FRACONALTO,485,485,100.0,0,0,Invariato,2026-07,485,485,2026-07-31,006069,D559,c_d559
PIEMONTE,ALESSANDRIA,FRANCAVILLA BISIO,292,292,100.0,0,0,Invariato,2026-03,292,292,2026-07-31,006070,D759,c_d759
PIEMONTE,ALESSANDRIA,FRASCARO,260,0,0.0,0,0,Invariato,2026-03,0,260,2026-07-31,006071,D770,c_d770
PIEMONTE,ALESSANDRIA,FRASSINELLO MONFERRATO,483,0,0.0,0,0,Invariato,2026-03,0,483,2026-07-31,006072,D777,c_d777
PIEMONTE,ALESSANDRIA,FRASSINETO PO,1192,1192,100.0,0,0,Invariato,2026-03,1192,1192,2026-07-31,006073,D780,c_d780
PIEMONTE,ALESSANDRIA,FRESONARA,908,810,89.21,0,0,Invariato,2026-07,810,908,2026-07-31,006074,D797,c_d797
PIEMONTE,ALESSANDRIA,FRUGAROLO,1230,1230,100.0,0,0,Invariato,2026-03,1230,1230,2026-07-31,006075,D813,c_d813
PIEMONTE,ALESSANDRIA,FUBINE MONFERRATO,1021,0,0.0,0,0,Invariato,2026-03,0,1021,2026-07-31,006076,D814,c_d814
PIEMONTE,ALESSANDRIA,GABIANO,978,0,0.0,0,0,Invariato,2026-03,0,978,2026-07-31,006077,D835,c_d835
PIEMONTE,ALESSANDRIA,GAMALERO,711,711,100.0,0,0,Invariato,2026-03,711,711,2026-07-31,006078,D890,c_d890
PIEMONTE,ALESSANDRIA,GARBAGNA,889,800,89.99,0,89,Aggiunti civici,2026-07,800,800,2026-07-31,006079,D910,c_d910
PIEMONTE,ALESSANDRIA,GAVI,2878,2878,100.0,2878,0,Aggiunte coordinate,2026-07,0,2878,2026-07-31,006081,D944,c_d944
PIEMONTE,ALESSANDRIA,GIAROLE,323,323,100.0,0,0,Invariato,2026-03,323,323,2026-07-31,006082,E015,c_e015
PIEMONTE,ALESSANDRIA,GREMIASCO,392,0,0.0,0,0,Invariato,2026-03,0,392,2026-07-31,006083,E164,c_e164
PIEMONTE,ALESSANDRIA,GROGNARDO,547,547,100.0,0,0,Invariato,2026-03,547,547,2026-07-31,006084,E188,c_e188
PIEMONTE,ALESSANDRIA,GRONDONA,561,0,0.0,0,0,Invariato,2026-03,0,561,2026-07-31,006085,E191,c_e191
PIEMONTE,ALESSANDRIA,GUAZZORA,271,271,100.0,0,0,Invariato,2026-07,271,271,2026-07-31,006086,E255,c_e255
PIEMONTE,ALESSANDRIA,ISOLA SANT'ANTONIO,693,0,0.0,0,0,Invariato,2026-03,0,693,2026-07-31,006087,E360,c_e360
PIEMONTE,ALESSANDRIA,LERMA,643,12,1.87,0,0,Invariato,2026-03,12,643,2026-07-31,006088,E543,c_e543
PIEMONTE,ALESSANDRIA,LU E CUCCARO MONFERRATO,1782,0,0.0,0,0,Invariato,2026-03,0,1782,2026-07-31,006193,M420,c_m420
PIEMONTE,ALESSANDRIA,MALVICINO,162,162,100.0,0,0,Invariato,2026-03,162,162,2026-07-31,006090,E870,c_e870
PIEMONTE,ALESSANDRIA,MASIO,960,960,100.0,0,0,Invariato,2026-03,960,960,2026-07-31,006091,F015,c_f015
PIEMONTE,ALESSANDRIA,MELAZZO,1075,1075,100.0,0,0,Invariato,2026-03,1075,1075,2026-07-31,006092,F096,c_f096
PIEMONTE,ALESSANDRIA,MERANA,297,180,60.61,0,0,Invariato,2026-07,180,297,2026-07-31,006093,F131,c_f131
PIEMONTE,ALESSANDRIA,MIRABELLO MONFERRATO,1088,1088,100.0,1088,0,Aggiunte coordinate,2026-07,0,1088,2026-07-31,006094,F232,c_f232
PIEMONTE,ALESSANDRIA,MOLARE,1265,1265,100.0,0,0,Invariato,2026-03,1265,1265,2026-07-31,006095,F281,c_f281
PIEMONTE,ALESSANDRIA,MOLINO DEI TORTI,547,0,0.0,0,0,Invariato,2026-03,0,547,2026-07-31,006096,F293,c_f293
PIEMONTE,ALESSANDRIA,MOMBELLO MONFERRATO,920,0,0.0,0,0,Invariato,2026-03,0,920,2026-07-31,006097,F313,c_f313
PIEMONTE,ALESSANDRIA,MOMPERONE,245,0,0.0,0,0,Invariato,2026-03,0,245,2026-07-31,006098,F320,c_f320
PIEMONTE,ALESSANDRIA,MONCESTINO,233,0,0.0,0,0,Invariato,2026-03,0,233,2026-07-31,006099,F337,c_f337
PIEMONTE,ALESSANDRIA,MONGIARDINO LIGURE,369,0,0.0,0,0,Invariato,2026-03,0,369,2026-07-31,006100,F365,c_f365
PIEMONTE,ALESSANDRIA,MONLEALE,670,0,0.0,0,0,Invariato,2026-03,0,670,2026-07-31,006101,F374,c_f374
PIEMONTE,ALESSANDRIA,MONTACUTO,477,477,100.0,0,0,Invariato,2026-03,477,477,2026-07-31,006102,F387,c_f387
PIEMONTE,ALESSANDRIA,MONTALDEO,288,161,55.9,0,0,Invariato,2026-07,161,288,2026-07-31,006103,F403,c_f403
PIEMONTE,ALESSANDRIA,MONTALDO BORMIDA,717,717,100.0,0,0,Invariato,2026-03,717,717,2026-07-31,006104,F404,c_f404
PIEMONTE,ALESSANDRIA,MONTECASTELLO,387,387,100.0,0,0,Invariato,2026-03,387,387,2026-07-31,006105,F455,c_f455
PIEMONTE,ALESSANDRIA,MONTECHIARO D'ACQUI,413,413,100.0,0,0,Invariato,2026-03,413,413,2026-07-31,006106,F469,c_f469
PIEMONTE,ALESSANDRIA,MONTEGIOCO,126,0,0.0,0,0,Invariato,2026-03,0,126,2026-07-31,006107,F518,c_f518
PIEMONTE,ALESSANDRIA,MONTEMARZINO,481,0,0.0,0,0,Invariato,2026-07,0,481,2026-07-31,006108,F562,c_f562
PIEMONTE,ALESSANDRIA,MORANO SUL PO,926,926,100.0,0,0,Invariato,2026-03,926,926,2026-07-31,006109,F707,c_f707
PIEMONTE,ALESSANDRIA,MORBELLO,694,694,100.0,0,0,Invariato,2026-03,694,694,2026-07-31,006110,F713,c_f713
PIEMONTE,ALESSANDRIA,MORNESE,686,686,100.0,0,0,Invariato,2026-03,686,686,2026-07-31,006111,F737,c_f737
PIEMONTE,ALESSANDRIA,MORSASCO,563,563,100.0,0,0,Invariato,2026-03,563,563,2026-07-31,006112,F751,c_f751
PIEMONTE,ALESSANDRIA,MURISENGO MONFERRATO,1273,1273,100.0,0,0,Invariato,2026-03,1273,1273,2026-07-31,006113,F814,c_f814
PIEMONTE,ALESSANDRIA,NOVI LIGURE,7845,7845,100.0,0,0,Invariato,2026-03,7845,7845,2026-07-31,006114,F965,c_f965
PIEMONTE,ALESSANDRIA,OCCIMIANO,1034,1034,100.0,0,0,Invariato,2026-03,1034,1034,2026-07-31,006115,F995,c_f995
PIEMONTE,ALESSANDRIA,ODALENGO GRANDE,550,0,0.0,0,0,Invariato,2026-03,0,550,2026-07-31,006116,F997,c_f997
PIEMONTE,ALESSANDRIA,ODALENGO PICCOLO,217,217,100.0,0,0,Invariato,2026-03,217,217,2026-07-31,006117,F998,c_f998
PIEMONTE,ALESSANDRIA,OLIVOLA,119,0,0.0,0,0,Invariato,2026-03,0,119,2026-07-31,006118,G042,c_g042
PIEMONTE,ALESSANDRIA,ORSARA BORMIDA,484,484,100.0,0,0,Invariato,2026-03,484,484,2026-07-31,006119,G124,c_g124
PIEMONTE,ALESSANDRIA,OTTIGLIO,392,392,100.0,0,0,Invariato,2026-03,392,392,2026-07-31,006120,G193,c_g193
