REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
PUGLIA,BARI,ACQUAVIVA DELLE FONTI,12941,0,0.0,0,0,Invariato,2026-03,0,12941,2026-08-03,072001,A048,c_a048
PUGLIA,BARI,ADELFIA,9369,0,0.0,0,0,Invariato,2026-03,0,9369,2026-08-03,072002,A055,c_a055
PUGLIA,BARI,ALBEROBELLO,9300,9300,100.0,0,0,Invariato,2026-03,9300,9300,2026-08-03,072003,A149,c_a149
PUGLIA,BARI,ALTAMURA,31337,31272,99.79,-4947,-4899,In calo,2026-08,36219,36236,2026-08-03,072004,A225,c_a225
PUGLIA,BARI,BARI,73221,75,0.1,0,179,Aggiunti civici,2026-08,75,73042,2026-08-03,072006,A662,c_a662
PUGLIA,BARI,BINETTO,1245,1245,100.0,-324,-324,In calo,2026-08,1569,1569,2026-08-03,072008,A874,c_a874
PUGLIA,BARI,BITETTO,7122,0,0.0,-2895,1,In calo,2026-08,2895,7121,2026-08-03,072010,A892,c_a892
PUGLIA,BARI,BITONTO,21435,21435,100.0,0,0,Invariato,2026-03,21435,21435,2026-08-03,072011,A893,c_a893
PUGLIA,BARI,BITRITTO,4429,4429,100.0,4429,-407,In calo,2026-08,0,4836,2026-08-03,072012,A894,c_a894
PUGLIA,BARI,CAPURSO,5729,5729,100.0,0,0,Invariato,2026-03,5729,5729,2026-08-03,072014,B716,c_b716
PUGLIA,BARI,CASAMASSIMA,8810,8810,100.0,0,0,Invariato,2026-03,8810,8810,2026-08-03,072015,B923,c_b923
PUGLIA,BARI,CASSANO DELLE MURGE,9476,0,0.0,0,0,Invariato,2026-03,0,9476,2026-08-03,072016,B998,c_b998
PUGLIA,BARI,CASTELLANA GROTTE,13750,13745,99.96,13745,-57,In calo,2026-08,0,13807,2026-08-03,072017,C134,c_c134
PUGLIA,BARI,CELLAMARE,2534,2534,100.0,0,0,Invariato,2026-03,2534,2534,2026-08-03,072018,C436,c_c436
PUGLIA,BARI,CONVERSANO,13434,13433,99.99,1,2,Aggiunti civici e coordinate,2026-08,13432,13432,2026-08-03,072019,C975,c_c975
PUGLIA,BARI,CORATO,32468,32468,100.0,0,0,Invariato,2026-03,32468,32468,2026-08-03,072020,C983,c_c983
PUGLIA,BARI,GIOIA DEL COLLE,14755,14755,100.0,0,0,Invariato,2026-03,14755,14755,2026-08-03,072021,E038,c_e038
PUGLIA,BARI,GIOVINAZZO,8236,8236,100.0,0,0,Invariato,2026-03,8236,8236,2026-08-03,072022,E047,c_e047
PUGLIA,BARI,GRAVINA IN PUGLIA,16845,16845,100.0,0,0,Invariato,2026-03,16845,16845,2026-08-03,072023,E155,c_e155
PUGLIA,BARI,GRUMO APPULA,9338,0,0.0,-1122,0,In calo,2026-08,1122,9338,2026-08-03,072024,E223,c_e223
PUGLIA,BARI,LOCOROTONDO,12533,49,0.39,0,0,Invariato,2026-03,49,12533,2026-08-03,072025,E645,c_e645
PUGLIA,BARI,MODUGNO,12529,12529,100.0,0,0,Invariato,2026-03,12529,12529,2026-08-03,072027,F262,c_f262
PUGLIA,BARI,MOLA DI BARI,15931,15924,99.96,0,0,Invariato,2026-03,15924,15931,2026-08-03,072028,F280,c_f280
PUGLIA,BARI,MOLFETTA,19888,0,0.0,0,1,Aggiunti civici,2026-08,0,19887,2026-08-03,072029,F284,c_f284
PUGLIA,BARI,MONOPOLI,20197,20197,100.0,0,0,Invariato,2026-03,20197,20197,2026-08-03,072030,F376,c_f376
PUGLIA,BARI,NOCI,9121,0,0.0,0,0,Invariato,2026-03,0,9121,2026-08-03,072031,F915,c_f915
PUGLIA,BARI,NOICATTARO,11369,11369,100.0,0,0,Invariato,2026-03,11369,11369,2026-08-03,072032,F923,c_f923
PUGLIA,BARI,PALO DEL COLLE,10601,10601,100.0,10601,-1848,In calo,2026-08,0,12449,2026-08-03,072033,G291,c_g291
PUGLIA,BARI,POGGIORSINI,1313,0,0.0,-1313,0,In calo,2026-08,1313,1313,2026-08-03,072034,G769,c_g769
