REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
SARDEGNA,CITTA' METROPOLITANA DI CAGLIARI,ASSEMINI,11196,11121,99.33,0,75,Aggiunti civici,2026-08,11121,11121,2026-07-31,092003,A474,c_a474
SARDEGNA,CITTA' METROPOLITANA DI CAGLIARI,CAGLIARI,48270,0,0.0,0,0,Invariato,2026-03,0,48270,2026-07-31,092009,B354,c_b354
SARDEGNA,CITTA' METROPOLITANA DI CAGLIARI,CAPOTERRA,14477,14477,100.0,0,0,Invariato,2026-03,14477,14477,2026-07-31,092011,B675,c_b675
SARDEGNA,CITTA' METROPOLITANA DI CAGLIARI,DECIMOMANNU,4090,4090,100.0,0,0,Invariato,2026-03,4090,4090,2026-07-31,092015,D259,c_d259
SARDEGNA,CITTA' METROPOLITANA DI CAGLIARI,ELMAS,5432,0,0.0,0,0,Invariato,2026-03,0,5432,2026-07-31,092108,D399,c_d399
SARDEGNA,CITTA' METROPOLITANA DI CAGLIARI,MARACALAGONIS,6817,6817,100.0,0,0,Invariato,2026-03,6817,6817,2026-07-31,092037,E903,c_e903
SARDEGNA,CITTA' METROPOLITANA DI CAGLIARI,MONSERRATO,9496,9496,100.0,0,0,Invariato,2026-03,9496,9496,2026-07-31,092109,F383,c_f383
SARDEGNA,CITTA' METROPOLITANA DI CAGLIARI,PULA,7905,1537,19.44,0,0,Invariato,2026-07,1537,7905,2026-07-31,092050,H088,c_h088
SARDEGNA,CITTA' METROPOLITANA DI CAGLIARI,QUARTU SANT'ELENA,36015,36015,100.0,0,0,Invariato,2026-03,36015,36015,2026-07-31,092051,H118,c_h118
SARDEGNA,CITTA' METROPOLITANA DI CAGLIARI,QUARTUCCIU,6034,6034,100.0,0,0,Invariato,2026-03,6034,6034,2026-07-31,092105,H119,c_h119
SARDEGNA,CITTA' METROPOLITANA DI CAGLIARI,SARROCH,3150,0,0.0,0,0,Invariato,2026-03,0,3150,2026-07-31,092066,I443,c_i443
SARDEGNA,CITTA' METROPOLITANA DI CAGLIARI,SELARGIUS,13751,13751,100.0,0,0,Invariato,2026-03,13751,13751,2026-07-31,092068,I580,c_i580
SARDEGNA,CITTA' METROPOLITANA DI CAGLIARI,SESTU,8189,0,0.0,0,0,Invariato,2026-03,0,8189,2026-07-31,092074,I695,c_i695
SARDEGNA,CITTA' METROPOLITANA DI CAGLIARI,SETTIMO SAN PIETRO,3365,3365,100.0,0,0,Invariato,2026-03,3365,3365,2026-07-31,092075,I699,c_i699
SARDEGNA,CITTA' METROPOLITANA DI CAGLIARI,SINNAI,10834,10834,100.0,0,0,Invariato,2026-03,10834,10834,2026-07-31,092080,I752,c_i752
SARDEGNA,CITTA' METROPOLITANA DI CAGLIARI,UTA,4125,4125,100.0,0,0,Invariato,2026-03,4125,4125,2026-07-31,092090,L521,c_l521
