REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
UMBRIA,PERUGIA,ASSISI,14733,0,0.0,0,0,Invariato,2026-03,0,14733,2026-08-03,054001,A475,c_a475
UMBRIA,PERUGIA,BASTIA UMBRA,12387,12387,100.0,2,-50,In calo,2026-08,12385,12437,2026-08-03,054002,A710,c_a710
UMBRIA,PERUGIA,BETTONA,1901,0,0.0,0,0,Invariato,2026-03,0,1901,2026-08-03,054003,A832,c_a832
UMBRIA,PERUGIA,BEVAGNA,3077,3077,100.0,1773,-60,In calo,2026-08,1304,3137,2026-08-03,054004,A835,c_a835
UMBRIA,PERUGIA,CAMPELLO SUL CLITUNNO,1939,0,0.0,0,0,Invariato,2026-03,0,1939,2026-08-03,054005,B504,c_b504
UMBRIA,PERUGIA,CANNARA,2242,0,0.0,0,-89,In calo,2026-08,0,2331,2026-08-03,054006,B609,c_b609
UMBRIA,PERUGIA,CASCIA,3142,3142,100.0,0,0,Invariato,2026-03,3142,3142,2026-08-03,054007,B948,c_b948
UMBRIA,PERUGIA,CASTEL RITALDI,2777,2777,100.0,0,0,Invariato,2026-03,2777,2777,2026-08-03,054008,C252,c_c252
UMBRIA,PERUGIA,CASTIGLIONE DEL LAGO,9641,9641,100.0,0,0,Invariato,2026-03,9641,9641,2026-08-03,054009,C309,c_c309
UMBRIA,PERUGIA,CERRETO DI SPOLETO,1462,1462,100.0,0,0,Invariato,2026-03,1462,1462,2026-08-03,054010,C527,c_c527
UMBRIA,PERUGIA,CITERNA,2694,2694,100.0,2694,21,Aggiunti civici e coordinate,2026-08,0,2673,2026-08-03,054011,C742,c_c742
UMBRIA,PERUGIA,CITTÀ DELLA PIEVE,2697,0,0.0,0,0,Invariato,2026-03,0,2697,2026-08-03,054012,C744,c_c744
