REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
VENETO,BELLUNO,AGORDO,2347,2245,95.65,0,102,Aggiunti civici,2026-08,2245,2245,2026-07-31,025001,A083,c_a083
VENETO,BELLUNO,ALLEGHE,1321,1321,100.0,0,0,Invariato,2026-03,1321,1321,2026-07-31,025003,A206,c_a206
VENETO,BELLUNO,ALPAGO,5120,0,0.0,0,0,Invariato,2026-03,0,5120,2026-07-31,025072,M375,c_m375
VENETO,BELLUNO,ARSIE',2020,1251,61.93,0,0,Invariato,2026-07,1251,2020,2026-07-31,025004,A443,c_a443
VENETO,BELLUNO,AURONZO DI CADORE,1976,1976,100.0,0,0,Invariato,2026-03,1976,1976,2026-07-31,025005,A501,c_a501
VENETO,BELLUNO,BELLUNO,14821,14713,99.27,0,0,Invariato,2026-07,14713,14821,2026-07-31,025006,A757,c_a757
VENETO,BELLUNO,BORCA DI CADORE,1146,1146,100.0,0,0,Invariato,2026-03,1146,1146,2026-07-31,025007,A982,c_a982
VENETO,BELLUNO,BORGO VALBELLUNA,8477,0,0.0,0,0,Invariato,2026-03,0,8477,2026-07-31,025074,M421,c_m421
VENETO,BELLUNO,CALALZO DI CADORE,1151,15,1.3,0,0,Invariato,2026-07,15,1151,2026-07-31,025008,B375,c_b375
VENETO,BELLUNO,CANALE D'AGORDO,1178,1156,98.13,0,0,Invariato,2026-07,1156,1178,2026-07-31,025023,B574,c_b574
VENETO,BELLUNO,CENCENIGHE AGORDINO,883,883,100.0,0,0,Invariato,2026-03,883,883,2026-07-31,025010,C458,c_c458
VENETO,BELLUNO,CESIOMAGGIORE,2360,2360,100.0,2356,0,Aggiunte coordinate,2026-08,4,2360,2026-07-31,025011,C577,c_c577
VENETO,BELLUNO,CHIES D'ALPAGO,1196,0,0.0,0,0,Invariato,2026-03,0,1196,2026-07-31,025012,C630,c_c630
VENETO,BELLUNO,CIBIANA DI CADORE,459,0,0.0,0,0,Invariato,2026-03,0,459,2026-07-31,025013,C672,c_c672
