REGIONE,COMUNI,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COMUNI_AGGIORNATI,COMUNI_SENZA_NESSUNA_COORDINATA,DATI_AGGIORNATI_AL,SCHEDA
ABRUZZO,305,787020,676635,85.97,2233,500,14,39,2026-09-15,regioni/abruzzo.csv
BASILICATA,131,441089,317680,72.02,194,188,3,29,2026-09-15,regioni/basilicata.csv
CALABRIA,404,1405721,1064068,75.7,-17,218,8,96,2026-09-15,regioni/calabria.csv
CAMPANIA,550,2132350,1550188,72.7,-288,877,15,161,2026-09-15,regioni/campania.csv
EMILIA ROMAGNA,330,1907894,1824327,95.62,1430,67,73,29,2026-09-15,regioni/emilia-romagna.csv
FRIULI VENEZIA GIULIA,215,597609,230043,38.49,2642,1522,22,131,2026-09-15,regioni/friuli-venezia-giulia.csv
LAZIO,378,1881371,1632479,86.77,436,615,13,92,2026-09-15,regioni/lazio.csv
LIGURIA,234,713530,528512,74.07,-154,-116,18,90,2026-09-15,regioni/liguria.csv
LOMBARDIA,1501,3136570,2069986,66.0,3260,3580,87,511,2026-09-15,regioni/lombardia.csv
MARCHE,225,768571,572334,74.47,38,51,15,65,2026-09-15,regioni/marche.csv
MOLISE,136,254834,211427,82.97,2142,-44,6,22,2026-09-15,regioni/molise.csv
PIEMONTE,1180,1707892,1107009,64.82,104,307,65,434,2026-09-15,regioni/piemonte.csv
PUGLIA,256,2306913,1803628,78.18,407,477,19,56,2026-09-15,regioni/puglia.csv
SARDEGNA,376,1156201,808008,69.88,55,-26,7,152,2026-09-15,regioni/sardegna.csv
SICILIA,390,3165306,2432270,76.84,190,353,19,96,2026-09-15,regioni/sicilia.csv
TOSCANA,273,1901458,1555651,81.81,2491,712,36,52,2026-09-15,regioni/toscana.csv
TRENTINO ALTO ADIGE,282,407040,265889,65.32,18,84,20,110,2026-09-15,regioni/trentino-alto-adige.csv
UMBRIA,92,446928,367199,82.16,23,28,6,27,2026-09-15,regioni/umbria.csv
VALLE D'AOSTA,74,94268,19263,20.43,-34,-34,4,54,2026-09-15,regioni/valle-d-aosta.csv
VENETO,559,2203389,1694469,76.9,108,886,78,152,2026-09-15,regioni/veneto.csv
