REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
ABRUZZO,CHIETI,CRECCHIO,2158,2158,100.0,2158,0,Aggiunte coordinate,2026-09,0,2158,2026-09-15,069027,D137,c_d137
MOLISE,ISERNIA,SESTO CAMPANO,2850,2049,71.89,2049,0,Aggiunte coordinate,2026-09,0,2850,2026-09-15,094050,I682,c_i682ea
TOSCANA,GROSSETO,MAGLIANO IN TOSCANA,2819,2205,78.22,1927,126,Aggiunti civici e coordinate,2026-09,278,2693,2026-09-15,053013,E810,c_e810
FRIULI VENEZIA GIULIA,PORDENONE,BUDOIA,2066,1167,56.49,1166,3,Aggiunti civici e coordinate,2026-09,1,2063,2026-09-15,093008,B247,c_b247
FRIULI VENEZIA GIULIA,UDINE,UDINE,45568,45568,100.0,851,851,Aggiunti civici e coordinate,2026-09,44717,44717,2026-09-15,030129,L483,c_l483
SICILIA,PALERMO,PETRALIA SOPRANA,7108,2030,28.56,788,-137,In calo,2026-09,1242,7245,2026-09-15,082055,G510,c_g510
EMILIA ROMAGNA,PIACENZA,OTTONE,1117,1117,100.0,740,-243,In calo,2026-09,377,1360,2026-09-15,033030,G195,c_g195
FRIULI VENEZIA GIULIA,PORDENONE,PASIANO DI PORDENONE,3452,3452,100.0,612,612,Aggiunti civici e coordinate,2026-09,2840,2840,2026-09-15,093029,G353,c_g353
LOMBARDIA,LECCO,OGGIONO,2658,2658,100.0,494,494,Aggiunti civici e coordinate,2026-09,2164,2164,2026-09-15,097057,G009,c_g009
TOSCANA,GROSSETO,ORBETELLO,8487,8466,99.75,431,451,Aggiunti civici e coordinate,2026-09,8035,8036,2026-09-15,053018,G088,c_g088
EMILIA ROMAGNA,RIMINI,SAN GIOVANNI IN MARIGNANO,5653,5532,97.86,424,-11,In calo,2026-09,5108,5664,2026-09-15,099017,H921,c_h921
PUGLIA,BRINDISI,BRINDISI,30566,30566,100.0,422,422,Aggiunti civici e coordinate,2026-09,30144,30144,2026-09-15,074001,B180,c_b180
LAZIO,LATINA,LATINA,30154,30150,99.99,270,274,Aggiunti civici e coordinate,2026-09,29880,29880,2026-09-15,059011,E472,c_e472
LAZIO,ROMA,MAZZANO ROMANO,1868,1868,100.0,234,234,Aggiunti civici e coordinate,2026-09,1634,1634,2026-09-15,058058,F064,c_f064
BASILICATA,POTENZA,RAPOLLA,3347,185,5.53,162,162,Aggiunti civici e coordinate,2026-09,23,3185,2026-09-15,076064,H186,c_h186
ABRUZZO,AQUILA,BARREA,1216,219,18.01,98,-7,In calo,2026-09,121,1223,2026-09-15,066010,A678,c_a678
MOLISE,CAMPOBASSO,SANT'ELIA A PIANISI,2207,2207,100.0,92,-54,In calo,2026-09,2115,2261,2026-09-15,070074,I320,c_i320
VENETO,VERONA,VALEGGIO SUL MINCIO,7206,7206,100.0,79,79,Aggiunti civici e coordinate,2026-09,7127,7127,2026-09-15,023089,L567,c_l567
LOMBARDIA,MONZA E DELLA BRIANZA,SOVICO,2981,2981,100.0,76,76,Aggiunti civici e coordinate,2026-09,2905,2905,2026-09-15,108041,I878,c_i878
CALABRIA,VIBO VALENTIA,VIBO VALENTIA,10802,10802,100.0,74,74,Aggiunti civici e coordinate,2026-09,10728,10728,2026-09-15,102047,F537,c_f537
LIGURIA,LA SPEZIA,LA SPEZIA,31580,31580,100.0,63,63,Aggiunti civici e coordinate,2026-09,31517,31517,2026-09-15,011015,E463,c_e463
TOSCANA,GROSSETO,FOLLONICA,10708,10708,100.0,61,61,Aggiunti civici e coordinate,2026-09,10647,10647,2026-09-15,053009,D656,c_d656
VENETO,VERONA,PESCHIERA DEL GARDA,4475,4473,99.96,57,59,Aggiunti civici e coordinate,2026-09,4416,4416,2026-09-15,023059,G489,c_g489
TOSCANA,PISA,PONTEDERA,11623,11613,99.91,54,58,Aggiunti civici e coordinate,2026-09,11559,11565,2026-09-15,050029,G843,c_g843
LOMBARDIA,VARESE,CLIVIO,591,163,27.58,51,-6,In calo,2026-09,112,597,2026-09-15,012052,C796,c_c796
SARDEGNA,ORISTANO,LACONI,2186,2171,99.31,51,-24,In calo,2026-09,2120,2210,2026-09-15,115028,E400,c_e400
LAZIO,ROMA,ROMA,516337,516331,100.0,50,50,Aggiunti civici e coordinate,2026-09,516281,516287,2026-09-15,058091,H501,c_h501
